	id	name	formula	mz	mod	ion
188.0564805	C00624	N-Acetyl-L-glutamate	C7H11NO5	188.0564805	-H(+)	304
189.0396535	C00944	3-Dehydroquinate	C7H10O6	189.0396535	-H(+)	308
189.0601868	C17220	2-Oxo-7-methylthioheptanoic acid	C8H14O3S	189.0601868	-H(+)	309
189.0733615	C04546	(R)-3-((R)-3-Hydroxybutanoyloxy)butanoate	C8H14O5	189.0733615	-H(+)	310
190.0534004	C05635	5-Hydroxyindoleacetate	C10H9NO3	190.0534004	-H(+)	312
191.0198702	C00158	Citrate	C6H8O7	191.0198702	-H(+)	315
192.0683083	C05598	Phenylacetylglycine	C10H11NO3	192.0683083	-H(+)	318
193.0524802	C01494	Ferulate	C10H10O4	193.0524802	-H(+)	322
195.0516458	C00257	D-Gluconic acid	C6H12O7	195.0516458	-H(+)	328
198.0169659	C01102	O-Phospho-L-homoserine	C4H10NO6P	198.0169659	-H(+)	334
198.1149033	C12448	Ecgonine methyl ester	C10H17NO3	198.1149033	-H(+)	335
199.0017807	C00279	D-Erythrose 4-phosphate	C4H9O7P	199.0017807	-H(+)	338
199.1701505	C02679	Dodecanoic acid	C12H24O2	199.1701505	-H(+)	340
201.0521577	C03569	2,2',3-Trihydroxybiphenyl	C12H10O3	201.0521577	-H(+)	344
202.0525579	C00331	Indolepyruvate	C11H9NO3	202.0525579	-H(+)	348
202.0716036	C12986	N2-Acetyl-L-aminoadipate	C8H13NO5	202.0716036	-H(+)	349
203.0827895	C00078	L-Tryptophan	C11H12N2O2	203.0827895	-H(+)	352
204.0312928	C02470	Xanthurenic acid	C10H7NO4	204.0312928	-H(+)	354
205.0360138	C00725	Lipoate	C8H14O2S2	205.0360138	-H(+)	358
207.0654294	C05610	Sinapoyl aldehyde	C11H12O4	207.0654294	-H(+)	365
214.0479381	C01233	sn-glycero-3-Phosphoethanolamine	C5H14NO6P	214.0479381	-H(+)	375
215.0325851	C01557	Bergapten	C12H8O4	215.0325851	-H(+)	379
216.0603086	C05644	3-Methylindolepyruvate	C12H11NO3	216.0603086	-H(+)	384
217.1166823	C04020	N2-(D-1-Carboxyethyl)-L-lysine	C9H18N2O4	217.1166823	-H(+)	388
220.0830615	C00140	N-Acetyl-D-glucosamine	C8H15NO6	220.0830615	-H(+)	395
223.1335308	C11512	Methyl jasmonate	C13H20O3	223.1335308	-H(+)	401
227.2023724	C06424	Tetradecanoic acid	C14H28O2	227.2023724	-H(+)	410
228.0294055	C03090	5-Phosphoribosylamine	C5H12NO7P	228.0294055	-H(+)	411
229.0131522	C00117	D-Ribose 5-phosphate	C5H11O8P	229.0131522	-H(+)	414
231.0994018	C03415	N2-Succinyl-L-ornithine	C9H16N2O5	231.0994018	-H(+)	417
236.078277	C03684	6-Pyruvoyltetrahydropterin	C9H11N5O3	236.078277	-H(+)	427
237.0287454	C04666	D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate	C6H11N2O6P	237.0287454	-H(+)	430
239.0212532	C00491	L-Cystine	C6H12N2O4S2	239.0212532	-H(+)	435
243.0606757	C00299	Uridine	C9H12N2O6	243.0606757	-H(+)	447
249.0551721	C00669	gamma-L-Glutamyl-L-cysteine	C8H14N2O5S	249.0551721	-H(+)	456
249.1478499	C13453	Xanthoxin	C15H22O3	249.1478499	-H(+)	457
253.0912845	C05401	3-beta-D-Galactosyl-sn-glycerol	C9H18O8	253.0912845	-H(+)	468
253.2175732	C08362	(9Z)-Hexadecenoic acid	C16H30O2	253.2175732	-H(+)	469
255.2354592	C00249	Hexadecanoic acid	C16H32O2	255.2354592	-H(+)	478
258.0367496	C00352	D-Glucosamine 6-phosphate	C6H14NO8P	258.0367496	-H(+)	495
259.0226222	C00085	D-Fructose 6-phosphate	C6H13O9P	259.0226222	-H(+)	497
263.0978231	C04148	alpha-N-Phenylacetyl-L-glutamine	C13H16N2O4	263.0978231	-H(+)	501
263.2001752	C16344	Heptadecatrienoic acid	C17H28O2	263.2001752	-H(+)	502
267.0728682	C00294	Inosine	C10H12N4O5	267.0728682	-H(+)	512
269.0866412	C10503	(-)-Medicarpin	C16H14O4	269.0866412	-H(+)	519
273.0037787	C01218	6-Phospho-2-dehydro-D-gluconate	C6H11O10P	273.0037787	-H(+)	531
275.1254906	C00449	N6-(L-1,3-Dicarboxypropyl)-L-lysine	C11H20N2O6	275.1254906	-H(+)	535
277.2152012	C06426	(6Z,9Z,12Z)-Octadecatrienoic acid	C18H30O2	277.2152012	-H(+)	541
279.233774	C01595	Linoleate	C18H32O2	279.233774	-H(+)	550
281.2493311	C00712	(9Z)-Octadecenoic acid	C18H34O2	281.2493311	-H(+)	558
283.2661649	C01530	Octadecanoic acid	C18H36O2	283.2661649	-H(+)	566
289.0340019	C05382	Sedoheptulose 7-phosphate	C7H15O10P	289.0340019	-H(+)	596
289.1219693	C03406	N-(L-Arginino)succinate	C10H18N4O6	289.1219693	-H(+)	597
291.2012215	C01226	12-OPDA	C18H28O3	291.2012215	-H(+)	600
293.178764	C10462	[6]-Gingerol	C17H26O4	293.178764	-H(+)	607
295.2293867	C14825	9(10)-EpOME	C18H32O3	295.2293867	-H(+)	616
296.0823193	C00170	5'-Methylthioadenosine	C11H15N5O3S	296.0823193	-H(+)	618
298.2728617	C00319	Sphingosine	C18H37NO2	298.2728617	-H(+)	629
299.1131752	C06046	Salidroside	C14H20O7	299.1131752	-H(+)	632
299.2024318	C00777	Retinoate	C20H28O2	299.2024318	-H(+)	633
300.1181887	C06517	(S)-6-O-Methylnorlaudanosoline	C17H19NO4	300.1181887	-H(+)	636
301.2174319	C06087	Abietate	C20H30O2	301.2174319	-H(+)	642
305.0622243	C05906	Leucocyanidin	C15H14O7	305.0622243	-H(+)	648
305.2472817	C03242	(8Z,11Z,14Z)-Icosatrienoic acid	C20H34O2	305.2472817	-H(+)	650
306.0768399	C00051	Glutathione	C10H17N3O6S	306.0768399	-H(+)	651
307.2657147	C09183	Sclareol	C20H36O2	307.2657147	-H(+)	658
308.0973008	C00270	N-Acetylneuraminate	C11H19NO9	308.0973008	-H(+)	660
309.2819283	C16526	Icosenoic acid	C20H38O2	309.2819283	-H(+)	669
310.1777012	C11810	Norajmaline	C20H25NO2	310.1777012	-H(+)	672
311.2232078	C04717	(9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoic acid	C18H32O4	311.2232078	-H(+)	680
311.2968676	C06425	Icosanoic acid	C20H40O2	311.2968676	-H(+)	682
313.181629	C18015	Momilactone A	C20H26O3	313.181629	-H(+)	685
315.1972581	C06093	Gibberellin A12 aldehyde	C20H28O3	315.1972581	-H(+)	692
316.2869482	C12144	Phytosphingosine	C18H39NO3	316.2869482	-H(+)	696
321.065228	C05909	Leucodelphinidin	C15H14O8	321.065228	-H(+)	702
322.0457397	C00055	CMP	C9H14N3O8P	322.0457397	-H(+)	704
323.0288599	C00105	UMP	C9H13N2O9P	323.0288599	-H(+)	707
324.1205813	C05174	(S)-Cheilanthifoline	C19H19NO4	324.1205813	-H(+)	710
327.2357003	C06429	(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid	C22H32O2	327.2357003	-H(+)	722
329.255034	C16513	(7Z,10Z,13Z,16Z,19Z)-Docosa-7,10,13,16,19-pentaenoic acid	C22H34O2	329.255034	-H(+)	726
333.2069985	C05949	12-Keto-leukotriene B4	C20H30O4	333.2069985	-H(+)	737
335.0730441	C10434	5-O-Caffeoylshikimic acid	C16H16O8	335.0730441	-H(+)	743
335.2312817	C02165	Leukotriene B4	C20H32O4	335.2312817	-H(+)	744
337.0547977	C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	C9H15N4O8P	337.0547977	-H(+)	751
338.9893513	C00354	D-Fructose 1,6-bisphosphate	C6H14O12P2	338.9893513	-H(+)	758
339.3280228	C08281	Docosanoic acid	C22H44O2	339.3280228	-H(+)	761
340.1229789	C15658	6-(alpha-D-Glucosaminyl)-1D-myo-inositol	C12H23NO10	340.1229789	-H(+)	763
341.1088246	C00089	Sucrose	C12H22O11	341.1088246	-H(+)	770
345.1376455	C09190	Strigol	C19H22O6	345.1376455	-H(+)	784
345.2020347	C02140	Corticosterone	C21H30O4	345.2020347	-H(+)	785
346.055867	C00020	AMP	C10H14N5O7P	346.055867	-H(+)	786
354.1546992	C01137	S-Adenosylmethioninamine	C14H23N6O3S	354.1546992	-H(+)	807
357.1351438	C10682	Matairesinol	C20H22O6	357.1351438	-H(+)	817
362.051578	C00144	GMP	C10H14N5O8P	362.051578	-H(+)	827
365.0473773	C04734	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide	C10H15N4O9P	365.0473773	-H(+)	836
367.0206593	C01103	Orotidine 5'-phosphate	C10H13N2O11P	367.0206593	-H(+)	840
367.2126337	C05956	Prostaglandin G2	C20H32O6	367.2126337	-H(+)	842
367.3588432	C08320	Tetracosanoic acid	C24H48O2	367.3588432	-H(+)	844
380.0703222	C06628	4-Hydroxy-6-methylpretetramide	C20H15NO7	380.0703222	-H(+)	872
386.0236342	C00705	dCDP	C9H15N3O10P2	386.0236342	-H(+)	892
387.1291734	C01852	Secologanin	C17H24O10	387.1291734	-H(+)	896
393.0579378	C12369	Tetracenomycin B3	C21H14O8	393.0579378	-H(+)	907
397.1250455	C00019	S-Adenosyl-L-methionine	C15H22N6O5S	397.1250455	-H(+)	922
402.0148183	C00112	CDP	C9H15N3O11P2	402.0148183	-H(+)	931
402.9970473	C00015	UDP	C9H14N2O12P2	402.9970473	-H(+)	934
418.9592104	C01243	1D-myo-Inositol 1,3,4-trisphosphate	C6H15O15P3	418.9592104	-H(+)	969
421.0757799	C00689	alpha,alpha'-Trehalose 6-phosphate	C12H23O14P	421.0757799	-H(+)	975
424.0451057	C00068	Thiamin diphosphate	C12H19N4O7P2S	424.0451057	-H(+)	979
426.0229958	C00008	ADP	C10H15N5O10P2	426.0229958	-H(+)	981
441.3371877	C15808	4alpha-Methylzymosterol-4-carboxylate	C29H46O3	441.3371877	-H(+)	1010
445.0256348	C06229	Fe(III)dicitrate	C12H22FeO14	445.0256348	-H(+)	1018
448.0707378	C17250	Glucolesquerellin	C14H27NO9S3	448.0707378	-H(+)	1023
458.1900206	C00440	5-Methyltetrahydrofolate	C20H25N7O6	458.1900206	-H(+)	1041
460.3308568	C01747	Psychosine	C24H47NO7	460.3308568	-H(+)	1046
481.9808158	C00063	CTP	C9H16N3O14P3	481.9808158	-H(+)	1094
482.9621415	C00075	UTP	C9H15N2O15P3	482.9621415	-H(+)	1096
493.9859371	C04895	2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine	C9H16N5O13P3	493.9859371	-H(+)	1115
498.2233404	C07031	N-Acetyl-O-demethylpuromycin	C23H29N7O6	498.2233404	-H(+)	1126
503.1649265	C00492	Raffinose	C18H32O16	503.1649265	-H(+)	1134
505.986539	C00002	ATP	C10H16N5O13P3	505.986539	-H(+)	1137
506.9650835	C00081	ITP	C10H15N4O14P3	506.9650835	-H(+)	1139
514.2841328	C05122	Taurocholate	C26H45NO7S	514.2841328	-H(+)	1150
515.287462	C11991	L-Olivosyl-oleandolide	C26H44O10	515.287462	-H(+)	1154
527.0500269	C11930	dTDP-2,6-dideoxy-D-glycero-hex-2-enos-4-ulose	C16H22N2O14P2	527.0500269	-H(+)	1170
543.1552687	C12384	Premithramycin A1	C27H28O12	543.1552687	-H(+)	1198
565.0464784	C00029	UDP-glucose	C15H24N2O17P2	565.0464784	-H(+)	1230
596.3336033	C12002	5-O-beta-D-Mycaminosyltylonolide	C31H51NO10	596.3336033	-H(+)	1290
604.0660547	C00096	GDP-mannose	C16H25N5O16P2	604.0660547	-H(+)	1301
606.0735076	C00043	UDP-N-acetyl-D-glucosamine	C17H27N3O17P2	606.0735076	-H(+)	1306
611.1476184	C00127	Glutathione disulfide	C20H32N6O12S2	611.1476184	-H(+)	1314
653.5320441	C05811	2-Octaprenyl-6-hydroxyphenol	C46H70O2	653.5320441	-H(+)	1375
664.1163382	C00004	NADH	C21H29N7O14P2	664.1163382	-H(+)	1389
667.5508834	C05812	2-Octaprenyl-6-methoxyphenol	C47H72O2	667.5508834	-H(+)	1395
823.3965895	C07204	Vincristine	C46H56N4O10	823.3965895	-H(+)	1576
826.4891702	C12216	Mycobactin S	C44H69N5O10	826.4891702	-H(+)	1578
837.1561857	C02335	beta-Alanyl-CoA	C24H41N8O17P3S	837.1561857	-H(+)	1597
869.5533433	C05797	Pheophytin a	C55H74N4O5	869.5533433	-H(+)	1637
905.4913001	C05307	Chlorophyll b	C55H70MgN4O6	905.4913001	-H(+)	1659
