Metabolites,ion,Kinases/Phosphatases,feature,coef,coef (abs),cor,pval,fdr
Inosine,267.0700,CDC5,YMR001C,-0.132534907314,0.132534907314,-0.266807460018,0.169915625837,0.391220465359
L-Malate,133.0100,TOR1,YJR066W,0.129238913649,0.129238913649,0.278010711125,0.152017432001,0.371926144313
dUDP,387.0000,CKA2,YOR061W,-0.128659876438,0.128659876438,-0.590046191344,0.000950100082981,0.00825604210038
L-Proline,114.0600,CKB1,YGL019W,0.126982251473,0.126982251473,0.541687520994,0.00290922886544,0.0167209100393
dUDP,387.0000,CKA1,YIL035C,-0.124715442137,0.124715442137,-0.590607315499,0.000936874930091,0.00825604210038
gamma-Amino-gamma-cyanobutanoate,127.0500,CKB2,YOR039W,-0.118177444778,0.118177444778,-0.633928250192,0.000292328669655,0.00558087547176
gamma-Amino-gamma-cyanobutanoate,127.0500,CKB1,YGL019W,-0.114737958891,0.114737958891,-0.636241031431,0.000273351606664,0.00558087547176
L-Proline,114.0600,CKB2,YOR039W,0.111780368542,0.111780368542,0.539442541123,0.00305222961035,0.0167209100393
L-Glutamine,145.0600,CBK1,YNL161W,-0.110228618099,0.110228618099,0.125754586237,0.523713641025,0.6982848547
L-Glutamine,145.0600,CAK1,YFL029C,-0.10419517208,0.10419517208,0.0231002198297,0.907115848651,0.940712731935
IMP,347.0400,TOR1,YJR066W,-0.10359794356,0.10359794356,-0.024714457975,0.900655755474,0.937872935452
N-Acetyl-L-glutamyl 5-phosphate,268.0200,CKB2,YOR039W,-0.0986717906805,0.0986717906805,-0.712558653874,2.09894543141e-05,0.00132233562179
L-Malate,133.0100,PRK1,YIL095W,-0.0922761045754,0.0922761045754,-0.539875931629,0.00302416359754,0.0167209100393
gamma-Amino-gamma-cyanobutanoate,127.0500,CDC28,YBR160W,-0.0913088894473,0.0913088894473,-0.0400796130816,0.83953118604,0.911904564147
gamma-Amino-gamma-cyanobutanoate,127.0500,MPS1,YDL028C,-0.0893806380433,0.0893806380433,0.130728298362,0.507288662737,0.691493472076
Xanthine,151.0300,YAK1,YJL141C,-0.08683876418,0.08683876418,-0.540636976931,0.00297541418694,0.0167209100393
L-Citrulline,174.0900,TOR1,YJR066W,-0.0786841896549,0.0786841896549,-0.158110582189,0.421644369725,0.614187174398
IMP,347.0400,CKB1,YGL019W,-0.077547426527,0.077547426527,-0.717541741576,1.72588568448e-05,0.00132233562179
L-Citrulline,174.0900,RIM15,YFL033C,-0.0771494838499,0.0771494838499,-0.361838076443,0.0584837745392,0.181949520788
L-Proline,114.0600,CKA1,YIL035C,0.0760558370829,0.0760558370829,0.507869255937,0.00579763091528,0.0298163875643
L-Citrulline,174.0900,CKA2,YOR061W,-0.0754354942859,0.0754354942859,-0.61170740702,0.000542581810146,0.0056010718328
IMP,347.0400,CKB2,YOR039W,-0.0726939856924,0.0726939856924,-0.714359756247,1.95652391884e-05,0.00132233562179
IMP,347.0400,CDC5,YMR001C,0.0724098460661,0.0724098460661,0.107657546634,0.585556347011,0.74525353256
L-Glutamine,145.0600,CDC28,YBR160W,-0.0718171303513,0.0718171303513,-0.0648236425274,0.743122918136,0.836013282903
L-Proline,114.0600,CLB2,YPR119W,-0.069330051014,0.069330051014,0.212574759208,0.277466552453,0.49204747859
L-Proline,114.0600,CKA2,YOR061W,0.0691273307188,0.0691273307188,0.508372836894,0.00574128590842,0.0298163875643
IMP,347.0400,CKA2,YOR061W,-0.0675999431264,0.0675999431264,-0.690085999084,4.83721942852e-05,0.00165975353245
IMP,347.0400,CKA1,YIL035C,-0.0674222003348,0.0674222003348,-0.692246599651,4.47843583418e-05,0.00165975353245
Pyruvate,87.0100,YAK1,YJL141C,0.0674087769528,0.0674087769528,0.567898910886,0.00162001022353,0.0123709871615
L-Glutamine,145.0600,MPS1,YDL028C,-0.0669315838828,0.0669315838828,0.12758197455,0.517649275456,0.693870305398
L-Citrulline,174.0900,CKA1,YIL035C,-0.0659784274061,0.0659784274061,-0.610110305291,0.00056624501689,0.0056010718328
L-Malate,133.0100,CLN2,YPL256C,0.0654604385274,0.0654604385274,0.210948989208,0.281244080129,0.49204747859
L-Proline,114.0600,CDC28,YBR160W,0.0635738953126,0.0635738953126,0.0475871934089,0.809971116346,0.899174983785
Pyruvate,87.0100,TOR1,YJR066W,0.0608979023017,0.0608979023017,0.396228293495,0.036855915706,0.120619360492
"D-Arabinono-1,4-lactone",147.0300,CDC5,YMR001C,0.0607972488372,0.0607972488372,0.495961853259,0.00727326281831,0.035247350581
N-Acetyl-L-glutamyl 5-phosphate,268.0200,YAK1,YJL141C,-0.059603239728,0.059603239728,-0.546224432727,0.00263769936047,0.0167209100393
L-Malate,133.0100,CDC28,YBR160W,0.0580151641684,0.0580151641684,0.235992054768,0.226668099966,0.44597045647
L-Citrulline,174.0900,CKB2,YOR039W,-0.0572619304657,0.0572619304657,-0.617404403742,0.00046507295598,0.00558087547176
N-Acetyl-L-glutamyl 5-phosphate,268.0200,TOR1,YJR066W,-0.0562716208067,0.0562716208067,-0.0944920017664,0.632450260824,0.766237815999
L-Citrulline,174.0900,CKB1,YGL019W,-0.0561687803041,0.0561687803041,-0.618853900994,0.000446974392233,0.00558087547176
N-Acetyl-L-glutamyl 5-phosphate,268.0200,CKB1,YGL019W,-0.0558897477741,0.0558897477741,-0.714172694294,1.97090250439e-05,0.00132233562179
L-Proline,114.0600,CAK1,YFL029C,-0.0521340195386,0.0521340195386,-0.0447884699882,0.820963170643,0.901972328466
L-Citrulline,174.0900,CAK1,YFL029C,-0.0519311552081,0.0519311552081,0.0272063749193,0.890695527075,0.93338581383
dUDP,387.0000,MPS1,YDL028C,-0.0518418749635,0.0518418749635,0.196384808328,0.316541774054,0.524792941194
L-Glutamine,145.0600,CLN2,YPL256C,-0.0496545358645,0.0496545358645,0.154340770584,0.432937013741,0.621693144371
"D-Arabinono-1,4-lactone",147.0300,RIM15,YFL033C,-0.0481101320197,0.0481101320197,-0.435746567252,0.0204586362434,0.0758172990197
Succinate,117.0200,RIM15,YFL033C,-0.0473986008949,0.0473986008949,-0.539811984735,0.00302829077772,0.0167209100393
L-Glutamine,145.0600,CLB2,YPR119W,-0.0451810395682,0.0451810395682,-0.300891126224,0.119735959903,0.315933890403
L-Malate,133.0100,CBK1,YNL161W,0.0430865802859,0.0430865802859,-0.0889104846047,0.652773050194,0.772294876286
Shikimate 5-phosphate,253.0100,CLB2,YPR119W,-0.0401729611218,0.0401729611218,-0.522964832723,0.00429849138867,0.0230472304243
dUDP,387.0000,CDC28,YBR160W,-0.0399311298724,0.0399311298724,-0.0183935336702,0.925983327123,0.948568286321
N-Acetyl-L-glutamyl 5-phosphate,268.0200,CAK1,YFL029C,-0.0397893014924,0.0397893014924,0.0313118665888,0.874321844872,0.925926752822
N-Acetyl-L-glutamyl 5-phosphate,268.0200,CDC5,YMR001C,0.0363556394151,0.0363556394151,0.170299224047,0.386266457322,0.59353138564
Succinate,117.0200,MPS1,YDL028C,0.0353553036834,0.0353553036834,0.459288513948,0.0139459973632,0.0572583341382
"D-Arabinono-1,4-lactone",147.0300,YAK1,YJL141C,-0.0346695080761,0.0346695080761,-0.427408920044,0.0232918360967,0.0793181445454
IMP,347.0400,TPK1,YJL164C,0.0343499750841,0.0343499750841,0.43733126501,0.0199535334235,0.0750491107869
L-Glutamine,145.0600,PRK1,YIL095W,-0.0339432423447,0.0339432423447,0.20251961015,0.30135402441,0.520145302407
N-Acetyl-L-glutamyl 5-phosphate,268.0200,MEC1,YBR136W,0.0332326102821,0.0332326102821,-0.17508716573,0.372850878837,0.581221905763
N-Acetyl-L-glutamyl 5-phosphate,268.0200,PRK1,YIL095W,0.0329773903844,0.0329773903844,0.269161634473,0.166036777153,0.391039886379
gamma-Amino-gamma-cyanobutanoate,127.0500,CLB2,YPR119W,0.0326694959133,0.0326694959133,-0.288081026938,0.137118969783,0.338764513582
L-Malate,133.0100,CKB2,YOR039W,0.0323924076264,0.0323924076264,0.0719230275171,0.716081325242,0.820238608914
L-Citrulline,174.0900,MPS1,YDL028C,-0.031765298276,0.031765298276,0.0975244597848,0.621516163159,0.760301325806
N-Acetyl-L-glutamyl 5-phosphate,268.0200,CBK1,YNL161W,-0.0315973550336,0.0315973550336,0.145404192657,0.460353425741,0.644494796037
Pyruvate,87.0100,TEL1,YBL088C,0.0310912352059,0.0310912352059,0.468490001471,0.0119206551691,0.0533148650973
L-Citrulline,174.0900,TEL1,YBL088C,-0.0310786006493,0.0310786006493,-0.444474165757,0.0178021913272,0.0692304597993
"D-Arabinono-1,4-lactone",147.0300,CKA2,YOR061W,-0.0302470138517,0.0302470138517,-0.465709254842,0.0125050453545,0.0534113801581
N-Acetyl-L-glutamyl 5-phosphate,268.0200,CLB2,YPR119W,0.029341846991,0.029341846991,-0.222916891514,0.254200589026,0.474507766181
"D-Arabinono-1,4-lactone",147.0300,CAK1,YFL029C,-0.0287771044364,0.0287771044364,-0.210145722782,0.283122557125,0.49204747859
gamma-Amino-gamma-cyanobutanoate,127.0500,MEC1,YBR136W,0.0284492312829,0.0284492312829,-0.226884898491,0.245623818916,0.465392498998
L-Malate,133.0100,CKB1,YGL019W,0.0280305544789,0.0280305544789,0.0744952908637,0.706363748464,0.819601278947
N-Acetyl-L-glutamyl 5-phosphate,268.0200,CKA2,YOR061W,-0.0278283892873,0.0278283892873,-0.684297866881,5.92769118734e-05,0.00165975353245
L-Proline,114.0600,PRK1,YIL095W,-0.0273777633141,0.0273777633141,-0.38917011687,0.0406679388059,0.131388725373
"D-Arabinono-1,4-lactone",147.0300,CBK1,YNL161W,0.0260694532296,0.0260694532296,0.417501746093,0.0270665867825,0.0897471035419
L-Citrulline,174.0900,CDC5,YMR001C,0.0255894036918,0.0255894036918,0.149273437294,0.448372433198,0.63836075235
L-Malate,133.0100,RIM15,YFL033C,0.0255300898479,0.0255300898479,0.0684732043245,0.729182170325,0.828370440486
Xanthine,151.0300,TOR1,YJR066W,-0.0253943293005,0.0253943293005,-0.276378338476,0.154537510024,0.374456274288
L-Proline,114.0600,TEL1,YBL088C,-0.0243566685945,0.0243566685945,0.174296050742,0.37504860161,0.581221905763
N-Acetyl-L-glutamyl 5-phosphate,268.0200,CKA1,YIL035C,-0.0241797817902,0.0241797817902,-0.684414969572,5.90362593392e-05,0.00165975353245
Succinate,117.0200,CLB2,YPR119W,-0.0235020041513,0.0235020041513,-0.326607616533,0.0898234437452,0.26404351155
Inosine,267.0700,CLN2,YPL256C,0.0223800548883,0.0223800548883,0.335554161332,0.0808716409585,0.245537994236
"D-Arabinono-1,4-lactone",147.0300,CKA1,YIL035C,-0.0221126108254,0.0221126108254,-0.466810220568,0.0122708816494,0.0533148650973
IMP,347.0400,MPS1,YDL028C,-0.0217471208871,0.0217471208871,0.307218753595,0.111774977401,0.302874132313
Inosine,267.0700,CLB2,YPR119W,0.0200377631296,0.0200377631296,0.173973140283,0.375947808971,0.581221905763
Inosine,267.0700,MPS1,YDL028C,-0.0195007867703,0.0195007867703,-0.0565001799396,0.775208876505,0.864392198581
Xanthine,151.0300,MPS1,YDL028C,-0.0187097767285,0.0187097767285,-0.288850001118,0.136026551582,0.338764513582
L-Malate,133.0100,CLB2,YPR119W,-0.0184822817011,0.0184822817011,0.173972680637,0.375949089839,0.581221905763
L-Glutamine,145.0600,TEL1,YBL088C,-0.0181768001831,0.0181768001831,-0.238561154517,0.221503458263,0.44597045647
L-Citrulline,174.0900,MEC1,YBR136W,-0.0180446516295,0.0180446516295,-0.430001042572,0.0223786538254,0.0774564008803
Inosine,267.0700,CKA1,YIL035C,-0.0175295411399,0.0175295411399,-0.262509298458,0.177161465926,0.39508574702
"D-Arabinono-1,4-lactone",147.0300,TOR1,YJR066W,0.0167542854791,0.0167542854791,0.380997471963,0.0454676455703,0.145036033971
N-Acetyl-L-glutamyl 5-phosphate,268.0200,TPK1,YJL164C,0.0166557151754,0.0166557151754,0.419513381604,0.026262472676,0.0882419081914
Pyruvate,87.0100,CKA1,YIL035C,0.0163621743202,0.0163621743202,0.458688713946,0.0140873679229,0.0572583341382
Succinate,117.0200,CAK1,YFL029C,-0.0163182328341,0.0163182328341,-0.00724045696822,0.970830648928,0.974153193293
L-Citrulline,174.0900,CLB2,YPR119W,0.0162045452131,0.0162045452131,-0.0445153588577,0.822037630339,0.901972328466
Xanthine,151.0300,CBK1,YNL161W,-0.0158962292934,0.0158962292934,-0.238903519425,0.220821246186,0.44597045647
Succinate,117.0200,MEC1,YBR136W,0.0157264003292,0.0157264003292,0.104169821009,0.59783069174,0.749519076211
dUDP,387.0000,CLN2,YPL256C,0.015322254545,0.015322254545,0.107849288198,0.584884757341,0.74525353256
N-Acetyl-L-glutamyl 5-phosphate,268.0200,MPS1,YDL028C,-0.0146404033505,0.0146404033505,0.129906101497,0.509986166711,0.691493472076
dUDP,387.0000,CLB2,YPR119W,-0.0143736294495,0.0143736294495,-0.265365193013,0.172323300218,0.391220465359
Inosine,267.0700,CAK1,YFL029C,0.014111231216,0.014111231216,0.266407488124,0.17058093529,0.391220465359
gamma-Amino-gamma-cyanobutanoate,127.0500,CAK1,YFL029C,-0.013208877818,0.013208877818,0.0364372194076,0.853952319966,0.918596461324
Shikimate 5-phosphate,253.0100,CAK1,YFL029C,-0.0130193564942,0.0130193564942,-0.174527843383,0.374403901396,0.581221905763
L-Malate,133.0100,YAK1,YJL141C,0.0129969430778,0.0129969430778,0.211536540536,0.279875115291,0.49204747859
Inosine,267.0700,RIM15,YFL033C,-0.0128609626636,0.0128609626636,-0.020420466916,0.917852657168,0.944077018801
L-Proline,114.0600,MEC1,YBR136W,0.0127043856167,0.0127043856167,0.174296143847,0.375048342522,0.581221905763
Succinate,117.0200,TPK1,YJL164C,-0.0125121883477,0.0125121883477,0.0966680586149,0.624596250922,0.760378044601
"D-Arabinono-1,4-lactone",147.0300,TPK1,YJL164C,-0.0122385120029,0.0122385120029,0.0919355740973,0.64172716679,0.767734014678
"D-Arabinono-1,4-lactone",147.0300,CLB2,YPR119W,-0.0112253888288,0.0112253888288,-0.120765798351,0.540441978032,0.705838298193
dUDP,387.0000,TEL1,YBL088C,0.0110574098667,0.0110574098667,-0.200206557503,0.307025827786,0.523096089965
L-Glutamine,145.0600,MEC1,YBR136W,-0.0108296029869,0.0108296029869,-0.227211814942,0.244925816901,0.465392498998
Pyruvate,87.0100,CKA2,YOR061W,0.0106988084425,0.0106988084425,0.459403724611,0.0139189779352,0.0572583341382
gamma-Amino-gamma-cyanobutanoate,127.0500,CLN2,YPL256C,-0.0103260690363,0.0103260690363,0.160111590842,0.415716968939,0.612635533174
gamma-Amino-gamma-cyanobutanoate,127.0500,PRK1,YIL095W,0.0101596220349,0.0101596220349,0.218260820314,0.264511685398,0.490124593532
Inosine,267.0700,CKB1,YGL019W,-0.0101228306148,0.0101228306148,-0.271002301612,0.163047966602,0.391039886379
Succinate,117.0200,YAK1,YJL141C,-0.0100373854103,0.0100373854103,-0.157220846493,0.424294849588,0.614495989059
dUDP,387.0000,CBK1,YNL161W,-0.00976077769301,0.00976077769301,0.211672964665,0.279557864558,0.49204747859
IMP,347.0400,CBK1,YNL161W,-0.00969762206691,0.00969762206691,0.1984542066,0.311366720217,0.523096089965
gamma-Amino-gamma-cyanobutanoate,127.0500,TEL1,YBL088C,-0.00953735746713,0.00953735746713,-0.238210508834,0.222203642355,0.44597045647
Xanthine,151.0300,CAK1,YFL029C,-0.00845250609272,0.00845250609272,-0.119626238204,0.544298076301,0.705838298193
L-Citrulline,174.0900,CBK1,YNL161W,-0.0083353828082,0.0083353828082,0.0120940158546,0.951295583134,0.962756975702
Xanthine,151.0300,CKB1,YGL019W,-0.00806016365349,0.00806016365349,-0.327563362628,0.0888328384607,0.26404351155
Inosine,267.0700,CKA2,YOR061W,-0.00768642023527,0.00768642023527,-0.262913732048,0.176470592918,0.39508574702
Shikimate 5-phosphate,253.0100,MPS1,YDL028C,0.00754462238778,0.00754462238778,0.146474956099,0.457021088699,0.644145141462
Succinate,117.0200,PRK1,YIL095W,-0.00742168531388,0.00742168531388,-0.1463055204,0.457547540959,0.644145141462
Pyruvate,87.0100,CKB1,YGL019W,0.00689473988265,0.00689473988265,0.469007801614,0.0118143918085,0.0533148650973
Succinate,117.0200,CDC5,YMR001C,-0.00681033811434,0.00681033811434,-0.130236381879,0.508901718701,0.691493472076
Pyruvate,87.0100,CDC5,YMR001C,-0.00680524875943,0.00680524875943,-0.0303482483065,0.878160690176,0.925926752822
Inosine,267.0700,CKB2,YOR039W,-0.00637268434111,0.00637268434111,-0.270049651866,0.164590043338,0.391039886379
L-Malate,133.0100,CAK1,YFL029C,-0.00634344695867,0.00634344695867,0.183533786255,0.349857077464,0.572493399486
L-Citrulline,174.0900,CLN2,YPL256C,-0.0062815563798,0.0062815563798,0.233697463394,0.231348693633,0.44597045647
Pyruvate,87.0100,CBK1,YNL161W,0.00625732476997,0.00625732476997,0.256854748857,0.187019933027,0.409817592372
N-Acetyl-L-glutamyl 5-phosphate,268.0200,CDC28,YBR160W,-0.0057172416419,0.0057172416419,0.123582320503,0.530966823043,0.704229681089
Pyruvate,87.0100,CKB2,YOR039W,0.00554299213187,0.00554299213187,0.46749016508,0.0121280977283,0.0533148650973
Succinate,117.0200,TOR1,YJR066W,0.00550967319468,0.00550967319468,0.245666708549,0.207634536529,0.44597045647
Xanthine,151.0300,RIM15,YFL033C,-0.00542461286652,0.00542461286652,-0.0674605576337,0.733042096144,0.828370440486
Shikimate 5-phosphate,253.0100,CKB1,YGL019W,-0.00527480307663,0.00527480307663,-0.431049508779,0.0220177026139,0.0774564008803
Xanthine,151.0300,CKA1,YIL035C,-0.00521431985445,0.00521431985445,-0.312761775781,0.105129936307,0.291129054389
Pyruvate,87.0100,MEC1,YBR136W,0.00496336961683,0.00496336961683,0.455172686514,0.0149402058034,0.0597608232134
Pyruvate,87.0100,MPS1,YDL028C,0.00495801691016,0.00495801691016,0.0891337074633,0.651955480246,0.772294876286
dUDP,387.0000,MEC1,YBR136W,0.00482758418909,0.00482758418909,-0.198709037424,0.310733103318,0.523096089965
IMP,347.0400,CDC28,YBR160W,0.00480924886169,0.00480924886169,0.128993058558,0.512989974634,0.691493472076
Pyruvate,87.0100,CLB2,YPR119W,-0.00473224389875,0.00473224389875,-0.0146018671527,0.941211827646,0.956392663576
Shikimate 5-phosphate,253.0100,YAK1,YJL141C,-0.00468429700296,0.00468429700296,-0.214488877718,0.273060915966,0.49204747859
Xanthine,151.0300,CDC5,YMR001C,0.00452643214844,0.00452643214844,0.128949934931,0.513132060628,0.691493472076
N-Acetyl-L-glutamyl 5-phosphate,268.0200,CLN2,YPL256C,0.00442016052973,0.00442016052973,0.236741323577,0.225153578233,0.44597045647
"D-Arabinono-1,4-lactone",147.0300,TEL1,YBL088C,-0.00422601927889,0.00422601927889,-0.163099292468,0.40695357146,0.607542267568
Shikimate 5-phosphate,253.0100,CKB2,YOR039W,-0.00410885259518,0.00410885259518,-0.432026183319,0.0216857650057,0.0774564008803
L-Citrulline,174.0900,PRK1,YIL095W,0.00407155032977,0.00407155032977,0.0880115476633,0.656069438029,0.772567749455
Xanthine,151.0300,CLB2,YPR119W,-0.00392509359453,0.00392509359453,-0.295409605486,0.12696362916,0.326477903555
Inosine,267.0700,CBK1,YNL161W,-0.00386839903673,0.00386839903673,-0.241727851416,0.215247417369,0.44597045647
Pyruvate,87.0100,CAK1,YFL029C,-0.00385647376276,0.00385647376276,-0.240086253497,0.218475388201,0.44597045647
"D-Arabinono-1,4-lactone",147.0300,CLN2,YPL256C,0.00383018829761,0.00383018829761,0.101404950323,0.60763845647,0.750612210934
Shikimate 5-phosphate,253.0100,RIM15,YFL033C,-0.00358743437263,0.00358743437263,-0.213785270033,0.274675113578,0.49204747859
Pyruvate,87.0100,CLN2,YPL256C,-0.00351460914173,0.00351460914173,-0.308427601841,0.110299890714,0.302125787608
IMP,347.0400,CAK1,YFL029C,-0.00334869446211,0.00334869446211,0.234537862557,0.229626979605,0.44597045647
L-Malate,133.0100,MEC1,YBR136W,0.00324369790289,0.00324369790289,-0.174223405527,0.37525078732,0.581221905763
Xanthine,151.0300,TEL1,YBL088C,0.00314239278188,0.00314239278188,-0.0737909699065,0.709020154009,0.819601278947
IMP,347.0400,CLB2,YPR119W,-0.00310740100763,0.00310740100763,-0.233461406221,0.231833848403,0.44597045647
Pyruvate,87.0100,PRK1,YIL095W,-0.00300210547403,0.00300210547403,-0.161041713751,0.412977600029,0.612178560043
Pyruvate,87.0100,TPK1,YJL164C,-0.00292582103582,0.00292582103582,-0.115922306441,0.556919739719,0.716039665353
Xanthine,151.0300,CDC28,YBR160W,0.00290911223838,0.00290911223838,0.158814942082,0.419552612027,0.614187174398
Xanthine,151.0300,CKB2,YOR039W,-0.00253648154268,0.00253648154268,-0.326332549829,0.0901100872749,0.26404351155
L-Malate,133.0100,TEL1,YBL088C,-0.00242140219838,0.00242140219838,-0.197291581699,0.314267659062,0.524473179361
Shikimate 5-phosphate,253.0100,CKA2,YOR061W,-0.00241979909676,0.00241979909676,-0.432158858288,0.0216409911118,0.0774564008803
Xanthine,151.0300,CKA2,YOR061W,-0.00240607797505,0.00240607797505,-0.315190697407,0.102312919743,0.2865974145
Succinate,117.0200,CLN2,YPL256C,-0.0023308928527,0.0023308928527,-0.0975397286116,0.621461304466,0.760301325806
Xanthine,151.0300,CLN2,YPL256C,-0.00229624998769,0.00229624998769,0.225508376865,0.248577229697,0.467473596146
Inosine,267.0700,MEC1,YBR136W,0.00226511857742,0.00226511857742,-0.292979609888,0.130267895774,0.331591007425
L-Malate,133.0100,CKA2,YOR061W,0.00205944263893,0.00205944263893,0.0357628121203,0.856627652426,0.918596461324
L-Malate,133.0100,CKA1,YIL035C,0.00203859570165,0.00203859570165,0.0318788665977,0.872064334875,0.925926752822
Shikimate 5-phosphate,253.0100,TEL1,YBL088C,0.00191868156629,0.00191868156629,-0.0064154412911,0.974153193293,0.974153193293
Shikimate 5-phosphate,253.0100,CKA1,YIL035C,-0.00188296218142,0.00188296218142,-0.4298306548,0.0224377669217,0.0774564008803
Inosine,267.0700,PRK1,YIL095W,0.00186822351179,0.00186822351179,-0.0779389081154,0.693424772656,0.808995568099
