kinase	metabolite	rsquared_adj	coef	pvalue	ci_lb	ci_ub	metabolite_name	kinase_name
YJL141C	114.06	0.490623902574	0.406274644019	0.656672339589	-1.56978332125	2.38233260929	L-Proline; 3-Acetamidopropanal; D-Proline	YAK1
YMR001C	114.06	0.490623902574	-0.657228995664	0.344252621533	-2.13234369056	0.817885699232	L-Proline; 3-Acetamidopropanal; D-Proline	CDC5;MSD2;PKX2
YFL033C	114.06	0.490623902574	0.269451906564	0.604485837683	-0.853200554861	1.39210436799	L-Proline; 3-Acetamidopropanal; D-Proline	RIM15;TAK1
YIL035C	114.06	0.490623902574	0.181742092673	0.828331008621	-1.63746232516	2.00094651051	L-Proline; 3-Acetamidopropanal; D-Proline	CKA1
YJL164C	114.06	0.490623902574	-0.387036525938	0.222402193024	-1.04983624294	0.275763191065	L-Proline; 3-Acetamidopropanal; D-Proline	TPK1;PKA1;SRA3
YNL161W	114.06	0.490623902574	0.0304896942884	0.964099960378	-1.44159041009	1.50256979867	L-Proline; 3-Acetamidopropanal; D-Proline	CBK1
YGL019W	275.12	0.478234470436	-0.120732255318	0.848394009782	-1.47840119844	1.23693668781	N6-(L-1,3-Dicarboxypropyl)-L-lysine	CKB1
YIL035C	275.12	0.478234470436	-0.120732255396	0.848394009685	-1.47840119852	1.23693668773	N6-(L-1,3-Dicarboxypropyl)-L-lysine	CKA1
YBL088C	275.12	0.478234470436	-0.309201292746	0.600218157602	-1.57038362042	0.951981034929	N6-(L-1,3-Dicarboxypropyl)-L-lysine	TEL1
YBR136W	275.12	0.478234470436	-0.309201291905	0.600218158581	-1.57038361958	0.95198103577	N6-(L-1,3-Dicarboxypropyl)-L-lysine	MEC1;ESR1;SAD3
YJL141C	275.12	0.478234470436	-0.379335235212	0.578218488538	-1.83661278655	1.07794231613	N6-(L-1,3-Dicarboxypropyl)-L-lysine	YAK1
YOR039W	275.12	0.478234470436	-0.12073225481	0.848394010411	-1.47840119794	1.23693668832	N6-(L-1,3-Dicarboxypropyl)-L-lysine	CKB2
YOR061W	275.12	0.478234470436	-0.120732254676	0.848394010577	-1.4784011978	1.23693668845	N6-(L-1,3-Dicarboxypropyl)-L-lysine	CKA2
YIL095W	275.12	0.478234470436	0.269333163182	0.774045465017	-1.74527684906	2.28394317543	N6-(L-1,3-Dicarboxypropyl)-L-lysine	PRK1;PAK1
YFL033C	275.12	0.478234470436	-0.368115798064	0.224774820256	-0.99803029129	0.261798695162	N6-(L-1,3-Dicarboxypropyl)-L-lysine	RIM15;TAK1
YFL029C	275.12	0.478234470436	0.319405749783	0.647124457721	-1.17446810067	1.81327960024	N6-(L-1,3-Dicarboxypropyl)-L-lysine	CAK1;CIV1
YIL035C	241.08	0.462370680837	-0.0294453935641	0.970880179646	-1.72885099368	1.66996020655	Thymidine	CKA1
YOR039W	241.08	0.462370680837	-0.0294453933832	0.970880179825	-1.7288509935	1.66996020673	Thymidine	CKB2
YFL033C	241.08	0.462370680837	-0.268521126315	0.395369217161	-0.925332481624	0.388290228993	Thymidine	RIM15;TAK1
YJL164C	241.08	0.462370680837	0.212951867076	0.243529226286	-0.162183527547	0.588087261698	Thymidine	TPK1;PKA1;SRA3
YOR061W	241.08	0.462370680837	-0.0294453933802	0.970880179828	-1.72885099349	1.66996020673	Thymidine	CKA2
YBL088C	279.23	0.448674380752	0.188119655552	0.55432279523	-0.481445981588	0.857685292691	9-cis,11-trans-Octadecadienoate; Linoleate	TEL1
YBR136W	279.23	0.448674380752	0.188119656808	0.554322792622	-0.481445980332	0.857685293948	9-cis,11-trans-Octadecadienoate; Linoleate	MEC1;ESR1;SAD3
YDL028C	279.23	0.448674380752	-0.030642038737	0.949309718543	-1.05202812749	0.990744050015	9-cis,11-trans-Octadecadienoate; Linoleate	MPS1;RPK1
YFL033C	279.23	0.448674380752	0.0889734361972	0.547624130641	-0.222349646557	0.400296518951	9-cis,11-trans-Octadecadienoate; Linoleate	RIM15;TAK1
YFL029C	279.23	0.448674380752	-0.464309318555	0.263568366415	-1.32270675607	0.394088118958	9-cis,11-trans-Octadecadienoate; Linoleate	CAK1;CIV1
YJL164C	182.97	0.207511079488	-0.158349090033	0.0674523502925	-0.329479756596	0.0127815765302	3-Phosphonooxypyruvate	TPK1;PKA1;SRA3
