site	YAL017W	YAR019C	YBL009W	YBL016W	YBL056W	YBL088C	YBR028C	YBR059C	YBR097W	YBR125C	YBR160W	YBR274W	YBR276C	YCR008W	YCR079W	YCR091W	YDL006W	YDL025C	YDL028C	YDL047W	YDL079C	YDL101C	YDL108W	YDL134C	YDL188C	YDL214C	YDL230W	YDR075W	YDR122W	YDR247W	YDR283C	YDR466W	YDR477W	YDR523C	YER129W	YFR014C	YGL021W	YGL059W	YGL179C	YGL180W	YGR040W	YGR123C	YGR188C	YGR203W	YGR262C	YHR030C	YHR076W	YHR082C	YHR135C	YIL035C	YIL042C	YIL095W	YIL113W	YIR026C	YJL095W	YJL106W	YJL128C	YJL164C	YJL165C	YJL187C	YJR059W	YJR066W	YKL048C	YKL101W	YKL116C	YKL126W	YKL139W	YKL161C	YKL166C	YKL168C	YKL171W	YKL198C	YLL010C	YLL019C	YLR019W	YLR096W	YLR113W	YLR240W	YLR248W	YLR362W	YLR433C	YML016C	YML057W	YMR104C	YMR139W	YMR216C	YMR291W	YNL020C	YNL032W	YNL099C	YNL154C	YNL161W	YNL298W	YNL307C	YNR031C	YNR032W	YOL016C	YOL045W	YOL100W	YOL113W	YOL128C	YOR061W	YOR090C	YOR119C	YOR208W	YOR231W	YOR233W	YOR267C	YOR351C	YPL026C	YPL031C	YPL042C	YPL140C	YPL141C	YPL150W	YPL179W	YPL203W	YPL204W	YPL236C	YPR054W	YPR073C	YPR106W	YPR111W	YPR161C
YAL043C_S320_T322_T330	0.264		-0.135	0.41600000000000004			0.14300000000000002					1.399			-0.927		-1.463			1.633				2.766	-0.094		-0.46399999999999997	0.01	0.701	0.445	0.139	-0.10400000000000001	1.2690000000000001	1.685	-2.115	1.022	-0.285	-0.172	-0.525			-0.397	0.5579999999999999			-0.41700000000000004	-0.961		-1.219		0.941	0.243		-1.391	0.67			-0.068					0.12300000000000001		0.006999999999999999	-0.184	1.966	-0.8290000000000001			-1.4380000000000002		0.54	-0.295			0.715		-0.9009999999999999	-0.408	-0.41	-0.68	0.732				3.967	-0.267			0.19899999999999998		1.848			-0.07	0.016			0.297		-0.498			-0.109	1.4280000000000002	0.937		0.518	0.243		1.271			-0.268	-0.89	-0.17		-1.126	-0.354		-0.42200000000000004	0.19699999999999998	
YAL047C_S465_Y467_S469																																																		1.406																																																																										
YAL051W_S144_T158		-0.473									0.379				-0.44799999999999995																		0.435																																																																																											0.11800000000000001
YAL051W_S653_S668_S669				-1.577				-1.088	-1.381					1.56				0.12300000000000001				0.054000000000000006					2.696			-0.5429999999999999		1.6680000000000001		0.46799999999999997	-0.657			0.69							-0.687							2.5860000000000003		1.274				-1.088								-0.71	-0.542		0.397	0.495					-0.5720000000000001					-0.512		-0.151								0.214	0.805		1.7480000000000002	0.779		0.19399999999999998									2.909		0.249				0.16399999999999998					-0.188	0.6920000000000001		0.078			0.36700000000000005		
YAR002W_T112_S118																																-0.261																																																									-1.339																																			
YAR002W_T112_T115_S118																																																																0.40299999999999997																																							0.986																					
YAR002W_T115_S118				-0.774	0.013000000000000001		0.426								0.698	-0.48200000000000004								-0.905		-0.20600000000000002	0.845		0.955											-0.19699999999999998														-0.247																											-0.242															0.1								-1.013	-0.527																			
YAR009C_S397_S401																					0.055	0.147					-1.9609999999999999	-1.307							0.33299999999999996												-0.005										1.811	-1.288												-0.872							1.956																	-3.886		-0.938	0.659			-0.377					-0.615								2.512	0.5920000000000001		-1.578								
YAR009C_S397_T403																																							-1.0070000000000001																													-0.594						0.49700000000000005																																																		
YAR009C_S397_T406																																																													-1.0																																																															
YAR009C_S401_S405		0.23199999999999998			0.738	-2.926			-0.526		0.327			-3.722		-0.826	0.126		-1.2309999999999999		0.12	0.039										-2.165								0.8			-1.073		1.229					-2.208					1.047	-2.081	1.9340000000000002			0.154			0.17600000000000002						-9.527000000000001									-1.976	-0.578		-2.701							-2.273				-0.012500000000000004		0.475				-4.3389999999999995						0.066									-0.24	-2.4130000000000003				-1.011		0.33899999999999997	-0.5379999999999999			
YAR009C_S401_T406													-0.129													0.079							-5.178999999999999				-1.817																								-1.598										-4.385																														1.3130000000000002																							
YAR009C_S445_T447														-6.699	-6.74																					-0.095																		-1.785								-1.739																																									-1.911												0.18									
YAR009C_S446_S451																										0.609											-0.7070000000000001																																																																																							
YAR009C_S446_T447					-0.09300000000000001	0.21600000000000003				-1.284			0.995			-1.023																		-0.529						-0.322															0.687		1.2819999999999998				-1.04		0.085																-0.875										1.131							-0.9990000000000001				0.26899999999999996					-1.4480000000000002								0.011000000000000001	0.8059999999999999						0.032	-1.805		0.048	
YAR009C_S494_S496	-1.963	-0.226			0.040999999999999995	-0.532	-0.479			-0.392	0.5				-3.59	-0.7120000000000001			-0.402				-0.584	-1.475					-0.18100000000000002	0.243	-0.484	-1.294	-3.522		-0.215				-0.59			-0.39399999999999996									-0.47700000000000004			-1.27						0.39799999999999996	-1.65				-0.282	-2.523		0.085			-4.97		0.29100000000000004	-0.39299999999999996			1.0			-3.728	-1.676	-0.8079999999999999					-1.558					0.07400000000000001			-1.864	-1.177				0.107	-0.013999999999999999	-1.003		0.15	-0.551	-2.323				-1.669		-1.74									-0.152		0.122	-0.5529999999999999
YAR009C_S494_Y495												-0.215	-0.589												-2.22	-0.009000000000000001								-0.737							-1.5719999999999998		-0.42700000000000005																																													-0.773	-0.84				0.526					-0.36200000000000004																										
YAR009C_S534_S536													-0.20199999999999999													-0.039	-1.821																		1.561									-2.9130000000000003							-1.7080000000000002	-0.805		-1.632						-0.47100000000000003		-0.052000000000000005			-1.285											-0.027000000000000003										-1.1540000000000001							-1.976		0.45899999999999996	-4.526									0.22899999999999998									
YAR009C_T671_T672_Y675				0.5710000000000001																																																													0.301																																															-0.609												
YAR009C_Y495_S496																											-1.483																																								-2.5069999999999997																														0.361																											
YAR010C_C43_S47				0.507					1.2109999999999999					-1.131							0.128	0.038										-1.4880000000000002						-1.53			-1.54																										-0.051											1.365											0.73					-0.018000000000000002				-0.723								-2.133					1.824													
YAR010C_C43_T48			-1.4769999999999999										1.397			0.09												0.02																	0.762	-0.711						-1.217						-0.835										0.031		0.919				-0.65	0.8740000000000001						0.14800000000000002											-0.12300000000000001	0.5589999999999999			-2.5340000000000003				-0.243					0.08900000000000001			-0.359	0.433							-0.18						-0.065	-0.134	
YAR010C_S38_C43		1.643			0.292											-0.22399999999999998							-0.996																	-0.38799999999999996																									0.281																											-0.389																			1.796	0.606						0.034						
YAR010C_S404_S409																										0.295																																																																																									0.044000000000000004									
YAR010C_S404_S418																																																																																																	0.161																											
YAR010C_S406_S409			-0.6609999999999999		-0.096		0.134					-0.044000000000000004				-0.23600000000000002								-0.816	-0.048				-0.158		-0.022000000000000002				-0.833	-0.026000000000000002	-0.225		-0.512	0.371	-0.617					-1.295					-0.8140000000000001				0.15										0.207			-0.156						0.07400000000000001					-0.287								0.08						0.268																-0.321											0.379	0.7290000000000001			
YAR010C_S409_S416																																																																																												0.38299999999999995												-0.21600000000000003																				
YAR010C_T405_S409	-1.6869999999999998	-0.043		0.285					0.174	0.491	-0.14		1.413		-0.858		0.373		-0.19899999999999998		-0.099	0.023										-0.716										0.34299999999999997			0.884									0.049		-0.44							0.008				-0.031											-0.304			-0.84	-1.2770000000000001	-0.764							-0.45899999999999996	0.233																0.527			-1.334	-0.982			0.28				0.419	-0.76			-1.6280000000000001	0.373	-0.061
YAR010C_T40_C43																			0.584																																																																																																									
YAR014C_S212_S222												0.826																						1.517																																																		0.163			0.557															0.885																			0.8009999999999999			
YAR014C_S398_S401																																																		7.435																																																																										
YAR014C_S624_T625_S662						0.588																																																																																																																						
YAR014C_S653_S656_S659																																																																													1.584																							-0.026000000000000002																								
YAR014C_S653_S656_S660																																																																																																			2.778																									
YAR014C_S656_S660																																												-0.14400000000000002																																																																																
YAR042W_S691_T692																																																																																																												-0.265																
YAR042W_S691_T694					-0.8490000000000001	-0.08				0.022000000000000002		0.937		-0.127	0.115	-0.179				0.9940000000000001				-1.6119999999999999	0.9179999999999999				-0.5870000000000001					2.048				-0.401	-0.24	0.485										-0.38299999999999995	-0.41100000000000003		-0.265							0.598		0.165		-0.862				0.021				-0.741	-0.84	1.4369999999999998		-0.055	0.387				-0.003			0.833					1.03	0.311							0.068		-0.27399999999999997	0.198		1.696	-0.306			-0.092				1.2919999999999998														
YAR042W_T1053_S1056																																	-5.9270000000000005																												-0.667																																													-0.625																		
YAR042W_T705_S712					-1.0290000000000001						5.947																													-0.368																																																																																				
YBL005W-A_S60_S71	2.611		-0.9540000000000001						0.09300000000000001						-1.081				-0.701		-0.12300000000000001	0.43	-0.203									1.032	-1.119			-0.045	-0.16899999999999998						1.456			-0.9990000000000001	-0.753		-0.601	1.693		-0.051									-0.115		-0.466					-1.393	-1.861	-0.643	0.909			-0.8759999999999999	0.73	1.148	-0.935	0.21		1.2429999999999999	1.371		2.9560000000000004	-2.367			-1.692	0.589	0.193	2.7560000000000002		0.213	0.1	-0.455			0.086			-0.02	-1.003			0.04		2.545				2.157											-1.075		1.462	
YBL005W-A_S61_S71																				-1.4340000000000002																																															-0.774																																																									
YBL005W-B_Y1054_S1055																			-0.111																				0.511												1.042																	0.132						0.095																																																		
YBL005W_Y202_T209		0.518	-0.16899999999999998					0.11	-0.073					-0.071	0.237		-0.055	0.105	-0.488	-0.10400000000000001		-0.22699999999999998	0.775	-1.213	0.52			0.155	-0.18700000000000006	-0.873	0.624		-1.845				0.09	0.17	-0.182			0.561			-1.484					0.682	0.935		-0.408				0.381	0.46399999999999997	0.195	1.993	-0.326				0.312	1.501					0.691	0.9990000000000001	1.495			0.474	0.31		0.134	-0.155		-1.1395			-0.669			-1.046	-0.345		0.252		3.085	-1.663		-0.33	0.2585		-0.451					0.233	-0.5770000000000001			0.14400000000000002	-0.003		-0.23199999999999998		1.5959999999999999					0.081	1.2429999999999999			0.076		0.332
YBL007C_S437_S439															0.67										1.932		-0.846																																																																																													0.18				
YBL007C_S437_S441		-1.0											-1.6969999999999998					0.735																										-0.9059999999999999						3.0989999999999998									3.5410000000000004			0.509		0.7170000000000001							1.275		3.656															-0.121							1.546				-0.633			3.967	1.178					0.35700000000000004																
YBL007C_S473_S476_S477																																																																																																										1.585																		
YBL007C_S473_S477																																				0.573							-0.192																											0.317					-0.38799999999999996										-0.623																																							
YBL007C_S477_S480																																	3.514																																																								-0.06																																			
YBL007C_S479_S480																																									-1.0979999999999999																																																									-0.39799999999999996																										
YBL007C_S990_T993					-0.27399999999999997					-0.615						0.855	-0.11																												0.8009999999999999											0.32899999999999996				-0.593																																																																
YBL007C_T984_T993													-0.231																																															0.031																																																																
YBL024W_S423_T426					0.203	0.14800000000000002										0.912				3.5810000000000004																				1.075					2.569												-1.775															5.043			0.682																																							-1.2770000000000001										
YBL024W_S424_T426										0.5760000000000001			0.9129999999999999				1.215																-1.1440000000000001																											-2.031																																																					-6.369											
YBL034C_S298_S302_S303																																																																																																-0.33									0.622																			
YBL034C_S486_S497																																			0.9690000000000001																																													-1.091																																												
YBL047C_S1006_S1012					0.16899999999999998	-0.599																																		0.825													-0.011000000000000001			-0.4885				0.165																-0.457																																																
YBL047C_S1008_S1011								-0.128						-0.031																-0.198		0.631						-0.597		0.358																							-1.077						0.18								-0.046													1.464							0.1			0.265																			0.147					
YBL047C_S1008_S1012																																					0.257																																																																					0.12300000000000001																		
YBL047C_S1064_S1069																																								-0.11900000000000001																																																																																				
YBL047C_S1069_T1072	7.955							0.247																-0.629					-0.568											-0.64							0.877			0.501							0.022000000000000002						-0.807									0.022000000000000002										0.39399999999999996	8.49														-0.06			0.021		1.0090000000000001											-0.79	-0.7240000000000001					0.8370000000000001					
YBL047C_S1087_S1095_S1100																							-0.456																																				6.295																																																																	0.597
YBL047C_S1087_S1096						-0.991				-1.545	0.945																																													-1.0390000000000001																																		0.888					0.076		-0.052000000000000005																					0.27						
YBL047C_S1087_S1100																			0.085																																																																																					-0.031																				
YBL047C_S1093_S1095_S1100				-0.623	0.38799999999999996		0.41050000000000003								-0.013000000000000001				-0.7879999999999999	0.22699999999999998			0.109	0.767	-0.609	-0.413	0.17600000000000002			0.371	-0.141		-0.324				0.8540000000000001		0.17300000000000001	-0.38299999999999995			1.046					-0.20600000000000002			1.0090000000000001	-0.336		-1.188	0.15999999999999998	-0.647	1.053			0.67		-0.23		-0.43		0.257	-0.872	-0.20400000000000001					0.174	-0.0795			0.513			-0.513	-0.3225	-0.569				1.306	-0.434	-0.161	-0.419	0.7929999999999999		0.295	-0.174			0.006							0.184		0.37799999999999995			0.10800000000000001	-0.4		-2.418	-2.079		-0.131	-0.16749999999999998		0.19399999999999998			0.074	-0.14400000000000002			-0.43200000000000005
YBL047C_S1093_S1095_S1104																																	0.925																																																																				-0.598																							
YBL047C_S1093_S1096		-0.195			-0.161	-0.723						0.34550000000000003		1.8969999999999998	-0.7120000000000001	-0.34700000000000003	-0.278															0.8909999999999999	-0.036000000000000004	-0.058499999999999996						-0.18				0.467	1.4080000000000001		-1.379							-5.897			0.344			0.4	-0.159		-0.20450000000000002	1.018						-0.17800000000000002	1.265	-0.32799999999999996			0.968				-0.235			-1.474			0.975	1.48		-0.314															1.463			0.08349999999999999							0.094	-0.728					0.157		0.23800000000000002			
YBL047C_S1093_S1096_S1100	1.96				-0.37799999999999995		0.42700000000000005			-0.491	1.382		-1.0085				0.6499999999999999	-1.453						0.05700000000000002	-0.885				-0.157				-0.42200000000000004	-0.21100000000000002		-0.049	0.8290000000000001	-0.431			-0.41500000000000004						-0.23399999999999999			0.795				-1.767	-0.492		0.7090000000000001				-0.28600000000000003		0.301						0.6779999999999999				-0.15		0.996		0.035		0.298	-0.7240000000000001	-0.439	-0.795	2.051		1.018		-0.738	-0.353	-1.9915		-0.17				0.212		0.273	-0.6224999999999999		0.122		0.257				0.731	0.011000000000000001			0.109	-2.752			0.593				0.364					1.0190000000000001	0.002
YBL047C_S1093_S1104													-5.553																																																																										-0.927															-0.129																						
YBL047C_S1095_S1096																			0.036000000000000004				-0.10099999999999999																																				1.173												2.084					-0.355													-0.861						-0.17																													0.46799999999999997
YBL047C_S1095_S1096_S1100	0.8029999999999999	-0.519	-0.247	-0.41600000000000004	0.37	-1.56		0.136		-0.825	0.42700000000000005				-0.228	-0.035							-0.662			-0.29600000000000004	0.32299999999999995	-0.203		0.228	-0.129					-0.013000000000000001				-0.409	-0.162					-0.629		-0.27399999999999997	-1.074	0.75		-0.425				-0.696	0.501	-1.056	1.4269999999999998	1.0270000000000001	-0.363	-0.046		-0.27399999999999997	0.379	0.105	-1.099				0.879								0.322				1.111	0.449			-0.214			0.9390000000000001		0.122			-0.156	0.215	0.18899999999999997	-1.072				0.562	0.24100000000000002	-0.184	0.91			0.182	-0.365	-0.09		-2.177	1.367	0.332		-0.757	-0.18600000000000003		0.341			-0.6890000000000001	-0.126	0.318
YBL047C_S1096_S1100				-2.492											-0.14800000000000002		0.85		-0.46											0.021		1.9069999999999998	-0.6409999999999999		0.763						-0.515						0.805			0.33399999999999996											-0.371		0.943		-0.08														-0.087	0.728																										0.665					-6.176	-0.7240000000000001												
YBL047C_S241_S244		-1.149	1.43			1.808					0.16399999999999998						-0.429	-1.37				-0.461									0.461				-0.733							0.551				0.302	-0.214	2.428				0.006				-1.864		-0.087	1.234				-3.141		1.14		-2.3480000000000003		1.786		2.148	-0.29600000000000004					-0.223	0.139		-0.74								0.306			0.515				2.147		-0.11900000000000001		-1.3130000000000002	0.308							0.06							-2.7910000000000004		0.401	-2.247		-0.222					0.359
YBL047C_S241_S244_S248																																																		2.105																							-1.857																																																			
YBL047C_S241_S244_S249	2.6710000000000003													0.8420000000000001				-0.35200000000000004							0.243	0.41100000000000003										0.426							0.787				0.040999999999999995						-0.455															0.371	2.559					-0.401						-0.045			2.682	0.7879999999999999			0.446			1.5930000000000002			0.8370000000000001					-0.677										0.8490000000000001										0.8540000000000001						
YBL047C_S241_S244_T245																																																																																					1.273																																							
YBL047C_S241_S248																										-0.10800000000000001																																																																																				-0.653														
YBL047C_S241_S249					0.6																																																																																																																							
YBL047C_S241_T245	2.141											0.951									-2.679			0.685	-0.7509999999999999				-0.499				-0.9109999999999999			-0.059000000000000004			0.306		0.141		1.379	-0.737						1.2570000000000001	1.5319999999999998			-1.642								-0.9670000000000001		-0.905				0.594		0.096				0.6940000000000001	2.05						1.508	-0.05	2.0980000000000003	0.7340000000000001	2.079	2.035		-0.461						-3.464				-1.057			-0.237		-0.54			0.32						-1.054												
YBL047C_S241_T245_S248																																2.064																																																																									-0.319								0.005											
YBL047C_S241_T251																																																					-1.882																																																																							
YBL047C_S244_S249													-2.166																																												0.16699999999999998				-0.647																		-0.21899999999999997																																		-0.45899999999999996											
YBL047C_T1072_T1073																																																								0.248																																																																				
YBL047C_T238_S241_S244																							1.043																																																																																	-0.711		0.172																		0.634
YBL047C_T238_S244																																																																																																																	0.024											
YBL047C_T450_S453	7.108																																																																																																																											
YBL051C_S189_S194_S197												1.286						-0.408																0.11											1.4280000000000002								-0.08800000000000001				0.301		1.41				-0.06						0.618						1.255	0.032							0.873					-2.213							-0.9309999999999999				0.785															-1.673							-0.129			
YBL051C_S190_S194_S197																								-1.063					-0.456							0.27899999999999997			-0.13				0.716								0.7170000000000001																	0.002					0.35	-0.047										1.827			1.9780000000000002		-0.981													-0.42200000000000004																						
YBL051C_S191_S194			-0.13	-0.001				-0.6609999999999999				0.23600000000000002		0.797			-0.013999999999999999	0.27												-0.05	0.09300000000000001								-0.043			-0.069				-0.299					0.24100000000000002	0.092								0.332		-0.44		-1.4509999999999998	0.373	-1.577	-0.226	-0.243	0.953		-2.35	0.105		-0.24								-0.11199999999999999			0.941			0.09699999999999999	-0.805		0.19899999999999998								1.297		-0.319		-0.275				0.054000000000000006		-0.046		-1.24													
YBL051C_S191_S194_S197																																																																																																										0.6409999999999999																		
YBL051C_S194_S197																																1.841	-1.4040000000000001			-0.247							0.23	0.248			-0.10099999999999999			0.39299999999999996				0.11900000000000001									0.182							-0.429					0.741		0.111		-0.17							0.672							-0.135				-0.044000000000000004	-0.625		-0.015						0.418				-0.01											2.003		0.106	
YBL051C_S194_S199	0.17				-0.075					-0.836						0.027999999999999997									-1.421			0.501												0.040999999999999995	-0.258							-0.698					-0.147				-0.064	-0.298	0.841																	-0.31							0.51												-0.635										0.494								0.12	-0.42700000000000005		-0.631	-0.114	-1.365	-0.293			-0.42100000000000004		-0.20199999999999999
YBL051C_S653_S655											1.114							-0.281		6.056													1.604	1.001		0.35700000000000004			-0.49200000000000005				2.4	0.547	2.511						1.14								1.9680000000000002	-0.262						-1.6540000000000001		-0.6990000000000001	0.083	-0.9849999999999999		0.418		-0.124	1.752	-0.128									2.0495	0.875						2.3369999999999997														1.984			-1.062					-1.601										-0.569
YBL054W_S298_S304														1.787																		0.8370000000000001	0.461					1.91			-0.466																				-1.051										0.175	1.429																											1.4980000000000002																									
YBL054W_S300_S303														2.745																								2.81			0.455																																																																																			
YBL054W_S300_S304												0.966																																										0.821																																	0.883			1.9509999999999998																																		
YBL054W_S303_S304																																																																					1.155																																																							
YBL054W_S317_S329		0.547	0.209	0.614						-0.968	-0.95				1.561		0.06		0.073				-0.589					1.795			0.418											-0.14				0.375						0.5329999999999999					0.177	-0.405		0.128			0.568		0.29100000000000004	-0.19399999999999998	-0.264								0.045				-0.183			-0.442					0.64				-0.27699999999999997	-0.521			0.5760000000000001				0.665					0.8290000000000001			-0.767		-0.20800000000000002		-0.447		1.199	-0.6409999999999999		-0.198	0.718					0.08199999999999999		-1.2209999999999999
YBL054W_S318_S329	2.582				-0.275	-0.49700000000000005										-0.10300000000000001											1.287								0.5489999999999999					-0.5429999999999999	0.8490000000000001						-0.531		1.496							-0.805															0.541												2.36													0.899	0.87	2.5669999999999997							-0.29100000000000004					0.7509999999999999													0.488	
YBL054W_S321_S329							0.47					0.228														0.08900000000000001			-0.39					-1.619		1.0759999999999998	1.464						0.5870000000000001											1.922																			1.5819999999999999				-0.26			-0.384	-0.358																-0.168			-0.534	-0.018000000000000002		0.8290000000000001					0.7759999999999999													-0.665			
YBL054W_S333_S337_S341																																													-0.052000000000000005																																																																															
YBL054W_S333_S341												1.58												-0.377					-0.435				2.27			1.953					0.14400000000000002		0.237	2.544	0.047					1.774			0.632									1.665		2.339						0.254			1.953		2.25										2.2119999999999997	1.374	1.287			3.282												2.127				3.4539999999999997																		
YBL054W_S333_Y339_S341																																																														1.734		2.574																																																												
YBL054W_S337_S341																	0.271																																										0.8320000000000001																		-0.8170000000000001		-0.452																		-0.062			-0.46299999999999997													0.184											
YBL054W_T325_S329	2.3040000000000003																									0.555			-0.335							1.381								2.144	-0.4																	1.705											1.828		2.7439999999999998								2.292	-0.838		2.126										0.19699999999999998																												
YBL054W_Y141_T147_S149															0.8490000000000001																												-0.7070000000000001								-1.7530000000000001																	-2.4130000000000003																																								0.408				-0.092											-0.47600000000000003	
YBL058W_C88_S93																																													1.46				-2.0709999999999997														-0.33799999999999997																1.199																																0.5870000000000001													
YBL058W_C88_S93_S94												-0.209			-0.209										0.124								-0.6970000000000001	0.581		-0.375			-0.015		-0.653		1.075								1.798																	-0.342									0.426			-0.179		-0.131							-0.85								-0.034			0.182						1.7930000000000001				-0.371								0.67					-0.124	
YBL058W_C88_S93_S94_S97																																	0.461																																																				0.657																					1.619																		
YBL058W_C88_S93_S97				-0.191			0.149	-0.09300000000000001		-0.541	0.818																-0.24100000000000002	-0.8059999999999999		0.11699999999999999	-0.16	1.253																	-1.063	1.1909999999999998				-0.363		-0.648		0.115	0.534				0.038		0.084	0.017	-0.107												1.88		0.386						-0.193					1.327				-0.7240000000000001						1.5090000000000001			-0.557		0.633				0.36	0.436	2.103		-0.361				-0.17600000000000002			-0.43700000000000006		
YBL058W_C88_S94	1.179				0.306	-0.359																																	-0.516												1.508																							-1.056																																																		
YBL058W_C88_S94_S97	1.785				-0.335	-0.121										-0.258																			-0.889					-0.5579999999999999		0.66					-0.18																																				1.9280000000000002	0.021														-0.488																			0.27899999999999997							
YBL058W_C88_S97											-0.893																																																																								1.5119999999999998																																									
