index	mz	tic	mzdelta	id	score	formula	mod	name
29	131.0463	0.9347	-1.11E-04	asn_L	100	C4H8N2O3	-H(+)	L-Asparagine
30	131.0825	0.2604	5.54E-05	orn	100	C5H12N2O2	-H(+)	Ornithine
31	132.0302	0.9752	-2.04E-05	asp_L	100	C4H7NO4	-H(+)	L-Aspartate
32	133.0141	0.5495	1.49E-04	mal_L	100	C4H6O5	-H(+)	L-Malate
33	133.0505	0.9081	1.10E-04	23dhmb	100	C5H10O4	-H(+)	"(R)-2,3-Dihydroxy-3-methylbutanoate"
33	133.0505	0.9081	1.10E-04	drib	100	C5H10O4	-H(+)	Deoxyribose
34	134.0473	0.9647	-7.03E-05	ade	100	C5H5N5	-H(+)	Adenine
35	135.0451	0.9776	7.19E-05	pac	100	C8H8O2	-H(+)	Phenylacetic acid
36	136.0405	0.8634	-1.14E-04	4abz	100	C7H7NO2	-H(+)	4-Aminobenzoate
36	136.0405	0.8634	-1.14E-04	anth	100	C7H7NO2	-H(+)	Anthranilate
37	138.9489	-0.0939	6.25E-04	2kmb	100	C5H0O3S	-H(+)	2-keto-4-methylthiobutyrate
38	139.9759	0.7901	-4.38E-04	cbp	100	CH4NO5P	-H(+)	Carbamoyl phosphate
39	140.0113	-0.1182	5.56E-04	ethamp	100	C2H8NO4P	-H(+)	Ethanolamine phosphate
40	143.1075	0.9082	2.92E-04	octa	100	C8H16O2	-H(+)	octanoate (n-C8:0)
41	144.0665	0.5989	1.62E-04	4aabutn	100	C6H11NO3	-H(+)	4-Acetamidobutanoate
41	144.0665	0.5989	1.62E-04	L2aadp6sa	100	C6H11NO3	-H(+)	L-2-Aminoadipate 6-semialdehyde
42	145.0142	0.9328	4.77E-05	akg	100	C5H6O5	-H(+)	2-Oxoglutarate
42	145.0142	0.9328	4.77E-05	ertascb_D	100	C5H6O5	-H(+)	D-erythro-Ascorbate
43	145.0618	0.977	3.59E-05	gln_L	100	C5H10N2O3	-H(+)	L-Glutamine
44	145.098	-0.6789	2.22E-04	lys_L	100	C6H14N2O2	-H(+)	L-Lysine
45	146.0459	0.979	-7.04E-05	4hglusa	100	C5H9NO4	-H(+)	L-4-Hydroxyglutamate semialdehyde
45	146.0459	0.979	-7.04E-05	acser	100	C5H9NO4	-H(+)	O-Acetyl-L-serine
45	146.0459	0.979	-7.04E-05	glu_L	100	C5H9NO4	-H(+)	L-Glutamate
46	147.03	0.8637	-1.03E-04	Dara14lac	100	C5H8O5	-H(+)	"D-Arabinono-1,4-lactone"
47	147.066	0.9597	2.58E-04	23dhmp	100	C6H12O4	-H(+)	"(R)-2,3-Dihydroxy-3-methylpentanoate"
47	147.066	0.9597	2.58E-04	mev_R	100	C6H12O4	-H(+)	(R)-Mevalonate
47	147.066	0.9597	2.58E-04	pant_R	100	C6H12O4	-H(+)	(R)-Pantoate
48	148.0439	0.9554	-1.12E-04	met_L	100	C5H11NO2S	-H(+)	L-Methionine
49	149.0458	0.9396	-2.13E-04	arab_D	100	C5H10O5	-H(+)	D-Arabinose
49	149.0458	0.9396	-2.13E-04	arab_L	100	C5H10O5	-H(+)	L-Arabinose
49	149.0458	0.9396	-2.13E-04	rib_D	100	C5H10O5	-H(+)	D-Ribose
49	149.0458	0.9396	-2.13E-04	xyl_D	100	C5H10O5	-H(+)	D-Xylose
49	149.0458	0.9396	-2.13E-04	xylu_D	100	C5H10O5	-H(+)	D-Xylulose
50	150.0411	0.902	9.90E-04	gua	100	C5H5N5O	-H(+)	Guanine
51	151.0256	0.8606	5.20E-04	xan	100	C5H4N4O2	-H(+)	Xanthine
52	152.0351	0.8375	1.79E-04	3hanthrn	100	C7H7NO3	-H(+)	3-Hydroxyanthranilate
52	152.0351	0.8375	2.74E-04	asp_L	40	C4H7NO4	+F(-)	L-Aspartate
53	154.0622	0.8355	-4.57E-05	his_L	100	C6H9N3O2	-H(+)	L-Histidine
54	157.0508	0.9112	-1.78E-04	2ippm	100	C7H10O4	-H(+)	2-Isopropylmaleate
55	159.03	0.8397	-6.52E-05	2oxoadp	100	C6H8O5	-H(+)	2-Oxoadipate
56	160.0615	0.9503	-1.10E-05	achms	100	C6H11NO4	-H(+)	O-Acetyl-L-homoserine
56	160.0615	0.9503	-1.10E-05	chitos	100	C6H11NO4	-H(+)	Chitosan
56	160.0615	0.9503	-1.10E-05	L2aadp	100	C6H11NO4	-H(+)	L-2-Aminoadipate
57	160.0766	0.9178	1.72E-04	ind3eth	100	C10H11NO	-H(+)	Indole-3-ethanol
58	161.0454	0.9695	1.37E-04	13BDglcn	100	C6H10O5	-H(+)	"1,3-beta-D-Glucan"
58	161.0454	0.9695	1.37E-04	16BDglcn	100	C6H10O5	-H(+)	"1,6-beta-D-Glucan"
58	161.0454	0.9695	1.37E-04	mannan	100	C6H10O5	-H(+)	Mannan
59	162.0403	0.745	5.37E-04	e4hglu	100	C5H9NO5	-H(+)	L-erythro-4-Hydroxyglutamate
60	163.0609	0.4411	3.37E-04	2dglc	100	C6H12O5	-H(+)	2-Deoxy-D-glucose
61	164.0716	0.9757	1.38E-04	phe_L	100	C9H11NO2	-H(+)	L-Phenylalanine
61	164.0716	0.9757	2.33E-04	4aabutn	40	C6H11NO3	+F(-)	4-Acetamidobutanoate
61	164.0716	0.9757	2.33E-04	L2aadp6sa	40	C6H11NO3	+F(-)	L-2-Aminoadipate 6-semialdehyde
62	166.0147	0.7643	-1.59E-04	quln	100	C7H5NO4	-H(+)	Quinolinate
63	166.0512	0.7336	-2.50E-04	pydx	100	C8H9NO3	-H(+)	Pyridoxal
63	166.0512	0.7336	-1.56E-04	4hglusa	40	C5H9NO4	+F(-)	L-4-Hydroxyglutamate semialdehyde
63	166.0512	0.7336	-1.56E-04	acser	40	C5H9NO4	+F(-)	O-Acetyl-L-serine
63	166.0512	0.7336	-1.56E-04	glu_L	40	C5H9NO4	+F(-)	L-Glutamate
64	167.0357	0.8074	-7.57E-04	hgentis	100	C8H8O4	-H(+)	Homogentisate
64	167.0357	0.8074	-6.63E-04	Dara14lac	40	C5H8O5	+F(-)	"D-Arabinono-1,4-lactone"
65	168.0667	0.9245	-5.93E-05	pydxn	100	C8H11NO3	-H(+)	Pyridoxine
66	171.0067	0.9503	-2.58E-04	glyc3p	100	C3H9O6P	-H(+)	Glycerol 3-phosphate
67	171.029	0.8896	9.12E-04	3dhsk	100	C7H8O5	-H(+)	3-Dehydroshikimate
68	171.139	0.9088	1.31E-05	dca	100	C10H20O2	-H(+)	Decanoate (n-C10:0)
69	172.0615	0.7889	5.11E-05	acg5sa	100	C7H11NO4	-H(+)	N-Acetyl-L-glutamate 5-semialdehyde
70	172.9043	-0.5814	3.37E-04	ppi	100	O7P2	-H(+)	Diphosphate
71	173.0458	0.872	-2.21E-04	3c4mop	100	C7H10O5	-H(+)	3-Carboxy-4-methyl-2-oxopentanoate
71	173.0458	0.872	-2.21E-04	skm	100	C7H10O5	-H(+)	Shikimate
72	173.0714	-0.1928	6.60E-04	iad	100	C10H10N2O	-H(+)	Indole-3-acetamide
73	174.0568	0.6882	-7.14E-04	ind3ac	100	C10H9NO2	-H(+)	Indole-3-acetate
74	174.0876	0.7797	8.28E-04	citr_L	100	C6H13N3O3	-H(+)	L-Citrulline
75	175.0613	0.9279	-8.82E-05	3c2hmp	100	C7H12O5	-H(+)	3-Carboxy-2-hydroxy-4-methylpentanoate
75	175.0613	0.9279	-8.82E-05	3c3hmp	100	C7H12O5	-H(+)	3-Carboxy-3-hydroxy-4-methylpentanoate
76	179.0353	0.7466	-3.60E-04	34hpp	100	C9H8O4	-H(+)	3-(4-Hydroxyphenyl)pyruvate
76	179.0353	0.7466	-2.66E-04	2oxoadp	40	C6H8O5	+F(-)	2-Oxoadipate
77	179.0561	0.9698	2.93E-05	14glun	100	C6H12O6	-H(+)	"(1,4-alpha-D-Glucosyl)n"
77	179.0561	0.9698	2.93E-05	fru	100	C6H12O6	-H(+)	D-Fructose
77	179.0561	0.9698	2.93E-05	gal	100	C6H12O6	-H(+)	D-Galactose
77	179.0561	0.9698	2.93E-05	glc_D	100	C6H12O6	-H(+)	D-Glucose
77	179.0561	0.9698	2.93E-05	inost	100	C6H12O6	-H(+)	myo-Inositol
77	179.0561	0.9698	2.93E-05	man	100	C6H12O6	-H(+)	D-Mannose
77	179.0561	0.9698	2.93E-05	srb_L	100	C6H12O6	-H(+)	L-Sorbose
78	180.0662	0.9899	4.13E-04	tyr_L	100	C9H11NO3	-H(+)	L-Tyrosine
78	180.0662	0.9899	5.08E-04	achms	40	C6H11NO4	+F(-)	O-Acetyl-L-homoserine
78	180.0662	0.9899	5.08E-04	chitos	40	C6H11NO4	+F(-)	Chitosan
78	180.0662	0.9899	5.08E-04	L2aadp	40	C6H11NO4	+F(-)	L-2-Aminoadipate
79	181.0712	0.9761	5.75E-04	sbt_D	100	C6H14O6	-H(+)	D-Sorbitol
79	181.0712	0.9761	5.75E-04	sbt_L	100	C6H14O6	-H(+)	L-Sorbitol
80	183.0064	0.5196	-4.77E-05	db4p	100	C4H9O6P	-H(+)	"3,4-dihydroxy-2-butanone 4-phosphate"
81	184.002	0.8595	-3.37E-04	pser_L	100	C3H8NO6P	-H(+)	O-Phospho-L-serine
82	184.9877	0.9286	-0.002	2pg	50	C3H7O7P	-H(+)	D-Glycerate 2-phosphate
82	184.9877	0.9286	-0.002	3pg	50	C3H7O7P	-H(+)	3-Phospho-D-glycerate
83	187.0246	0.8748	2.13E-04	b124tc	100	C7H8O6	-H(+)	"But-1-ene-1,2,4-tricarboxylate"
84	188.0564	0.9714	3.98E-05	acglu	100	C7H11NO5	-H(+)	N-Acetyl-L-glutamate
85	189.0406	0.9104	-1.27E-04	3dhq	100	C7H10O6	-H(+)	3-Dehydroquinate
86	191.0198	0.6394	-5.22E-05	cit	100	C6H8O7	-H(+)	Citrate
86	191.0198	0.6394	-5.22E-05	icit	100	C6H8O7	-H(+)	Isocitrate
87	199.0241	0.8636	7.12E-04	4mlacac	100	C8H8O6	-H(+)	4-Maleylacetoacetate
88	199.17	0.8786	3.58E-04	ddca	100	C12H24O2	-H(+)	Dodecanoate (n-C12:0)
89	202.072	0.7291	1.06E-04	chitin	100	C8H13NO5	-H(+)	Chitin (monomer)
90	203.0204	0.9279	-6.29E-04	oxag	100	C7H8O7	-H(+)	Oxaloglutarate
91	203.0827	0.993	-1.14E-04	trp_L	100	C11H12N2O2	-H(+)	L-Tryptophan
92	204.0548	0.9116	-0.0026	lpam	65	C8H15NOS2	-H(+)	Lipoamide
93	205.0352	0.8371	1.76E-04	2mcit	100	C7H10O7	-H(+)	2-Methylcitrate
93	205.0352	0.8371	1.76E-04	hcit	100	C7H10O7	-H(+)	"2-Hydroxybutane-1,2,4-tricarboxylate"
93	205.0352	0.8371	1.76E-04	hicit	100	C7H10O7	-H(+)	Homoisocitrate
93	205.0352	0.8371	1.76E-04	micit	100	C7H10O7	-H(+)	methylisocitrate
94	205.0622	NaN	-0.0269	2mcit	37	C7H10O7	-H(+)	2-Methylcitrate
94	205.0622	NaN	-0.0269	hcit	37	C7H10O7	-H(+)	"2-Hydroxybutane-1,2,4-tricarboxylate"
94	205.0622	NaN	-0.0269	hicit	37	C7H10O7	-H(+)	Homoisocitrate
94	205.0622	NaN	-0.0269	micit	37	C7H10O7	-H(+)	methylisocitrate
95	213.1243	0.8992	1.59E-04	dtbt	100	C10H18N2O3	-H(+)	Dethiobiotin
96	214.0117	0.9406	4.98E-04	phthr	100	C4H10NO7P	-H(+)	O-Phospho-4-hydroxy-L-threonine
97	217.0863	0.9322	-0.0033	gluala	34	C8H14N2O5	-H(+)	5-L-Glutamyl-L-alanine
98	217.0954	0.9061	2.08E-04	pnto_R	100	C9H16NO5	-H(+)	(R)-Pantothenate
99	218.0329	0.9327	6.72E-04	4ampm	100	C6H10N3O4P	-H(+)	4-Amino-2-methyl-5-phosphomethylpyrimidine
100	220.048	0.6841	0.0012	hisp	84	C6H12N3O4P	-H(+)	L-Histidinol phosphate
101	221.0608	0.7745	-6.56E-04	cyst_L	100	C7H14N2O4S	-H(+)	L-Cystathionine
102	225.0407	0.9147	-1.94E-04	chor	100	C10H10O6	-H(+)	chorismate
102	225.0407	0.9147	-1.94E-04	pphn	100	C10H10O6	-H(+)	Prephenate
102	225.0407	0.9147	-9.92E-05	2mcit	40	C7H10O7	+F(-)	2-Methylcitrate
102	225.0407	0.9147	-9.92E-05	hcit	40	C7H10O7	+F(-)	"2-Hydroxybutane-1,2,4-tricarboxylate"
102	225.0407	0.9147	-9.92E-05	hicit	40	C7H10O7	+F(-)	Homoisocitrate
102	225.0407	0.9147	-9.92E-05	micit	40	C7H10O7	+F(-)	methylisocitrate
103	225.1861	0.7665	-7.23E-05	ttdcea	100	C14H26O2	-H(+)	tetradecenoate (n-C14:1)
104	226.0102	0.8021	0.002	glu5p	70	C5H10NO7P	-H(+)	L-Glutamate 5-phosphate
105	227.0702	0.9172	-0.0029	duri	35	C9H12N2O5	-H(+)	Deoxyuridine
106	227.2017	0.9258	-5.48E-05	ttdca	100	C14H28O2	-H(+)	tetradecanoate (n-C14:0)
107	228.0277	0.8647	1.83E-04	pram	100	C5H12NO7P	-H(+)	5-Phospho-beta-D-ribosylamine
108	229.0123	0.9313	-3.95E-04	r1p	100	C5H11O8P	-H(+)	alpha-D-Ribose 1-phosphate
108	229.0123	0.9313	-3.95E-04	r5p	100	C5H11O8P	-H(+)	alpha-D-Ribose 5-phosphate
108	229.0123	0.9313	-3.95E-04	ru5p_D	100	C5H11O8P	-H(+)	D-Ribulose 5-phosphate
108	229.0123	0.9313	-3.95E-04	xu5p_D	100	C5H11O8P	-H(+)	D-Xylulose 5-phosphate
109	237.0279	0.9443	2.93E-04	eig3p	100	C6H11N2O6P	-H(+)	D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate
110	243.0261	0.8212	0.0014	2doxg6p	72	C6H13O8P	-H(+)	2-Deoxy-D-glucose 6-phosphate
111	243.0622	0.9436	4.72E-05	uri	100	C9H12N2O6	-H(+)	Uridine
112	244.9993	0.4966	-7.66E-04	dmpp	100	C5H12O7P2	-H(+)	Dimethylallyl diphosphate
112	244.9993	0.4966	-7.66E-04	ipdp	100	C5H12O7P2	-H(+)	Isopentenyl diphosphate
113	246.017	0.9144	3.31E-04	pydx5p	100	C8H10NO6P	-H(+)	Pyridoxal 5'-phosphate
113	246.017	0.9144	4.26E-04	glu5p	40	C5H10NO7P	+F(-)	L-Glutamate 5-phosphate
114	247.0444	0.8944	0.0046	pyam5p	34	C8H13N2O5P	-H(+)	Pyridoxamine 5'-phosphate
115	249.0554	0.9526	-3.12E-04	glucys	100	C8H14N2O5S	-H(+)	gamma-L-Glutamyl-L-cysteine
116	253.0086	0.8382	0.0033	skm5p	53	C7H11O8P	-H(+)	Shikimate 5-phosphate
117	253.2172	0.9348	1.42E-04	hdcea	100	C16H30O2	-H(+)	Hexadecenoate (n-C16:1)
118	254.0895	0.9263	-1.83E-05	dhnpt	100	C9H13N5O4	-H(+)	Dihydroneopterin
119	255.233	0.9297	-8.33E-05	2hhxdal	100	C16H32O2	-H(+)	2-Hydroxy-hexadecanal
119	255.233	0.9297	-8.33E-05	hdca	100	C16H32O2	-H(+)	Hexadecanoate (n-C16:0)
120	257.1032	0.9295	1.26E-04	g3pc	100	C8H21NO6P	-H(+)	sn-Glycero-3-phosphocholine
121	258.0374	0.9168	9.96E-04	gam1p	100	C6H14NO8P	-H(+)	D-Glucosamine 1-phosphate
121	258.0374	0.9168	9.96E-04	gam6p	100	C6H14NO8P	-H(+)	D-Glucosamine 6-phosphate
122	259.0234	0.9751	-9.40E-04	f1p	100	C6H13O9P	-H(+)	D-Fructose 1-phosphate
122	259.0234	0.9751	-9.40E-04	f6p	100	C6H13O9P	-H(+)	D-Fructose 6-phosphate
122	259.0234	0.9751	-9.40E-04	g1p	100	C6H13O9P	-H(+)	D-Glucose 1-phosphate
122	259.0234	0.9751	-9.40E-04	g6p	100	C6H13O9P	-H(+)	D-Glucose 6-phosphate
122	259.0234	0.9751	-9.40E-04	gal1p	100	C6H13O9P	-H(+)	alpha-D-Galactose 1-phosphate
122	259.0234	0.9751	-9.40E-04	man1p	100	C6H13O9P	-H(+)	D-Mannose 1-phosphate
122	259.0234	0.9751	-9.40E-04	man6p	100	C6H13O9P	-H(+)	D-Mannose 6-phosphate
122	259.0234	0.9751	-9.40E-04	mi1p_D	100	C6H13O9P	-H(+)	1D-myo-Inositol 1-phosphate
122	259.0234	0.9751	-9.40E-04	tag6p_D	100	C6H13O9P	-H(+)	D-Tagatose 6-phosphate
123	266.0892	0.9293	2.29E-04	adn	100	C10H13N5O4	-H(+)	Adenosine
123	266.0892	0.9293	2.29E-04	dgsn	100	C10H13N5O4	-H(+)	Deoxyguanosine
124	267.0729	0.9653	5.97E-04	ins	100	C10H12N4O5	-H(+)	Inosine
125	268.0209	0.7753	0.0019	acg5p	54	C7H12NO8P	-H(+)	N-Acetyl-L-glutamyl 5-phosphate
126	275.0173	0.8968	8.57E-05	6pgc	100	C6H13O10P	-H(+)	6-Phospho-D-gluconate
127	275.126	0.9335	-0.0012	saccrp_L	84	C11H20N2O6	-H(+)	L-Saccharopine
128	279.2326	0.8666	3.97E-04	ocdcya	100	C18H32O2	-H(+)	octadecadienoate (n-C18:2)
129	281.2482	0.9381	4.46E-04	ocdcea	100	C18H34O2	-H(+)	octadecenoate (n-C18:1)
130	283.2642	0.9274	6.19E-05	ocdca	100	C18H36O2	-H(+)	octadecanoate (n-C18:0)
131	289.0334	0.9483	-3.63E-04	s7p	100	C7H15O10P	-H(+)	Sedoheptulose 7-phosphate
132	296.0797	0.912	0.0026	5mta	75	C11H15N5O3S	-H(+)	5-Methylthioadenosine
133	298.0718	0.9717	-0.0021	4ppan	48	C9H18NO8P	-H(+)	D-4'-Phosphopantothenate
134	300.0488	0.9312	1.48E-04	acgam1p	100	C8H16NO9P	-H(+)	N-Acetyl-D-glucosamine 1-phosphate
134	300.0488	0.9312	1.48E-04	acgam6p	100	C8H16NO9P	-H(+)	N-Acetyl-D-glucosamine 6-phosphate
135	306.0477	0.9133	0.0019	dcmp	85	C9H14N3O7P	-H(+)	dCMP
136	306.0763	0.9796	2.15E-04	gthrd	100	C10H17N3O6S	-H(+)	Reduced glutathione
137	321.0517	0.4571	-0.0024	dtmp	68	C10H15N2O8P	-H(+)	dTMP
138	323.0178	0.8525	-4.30E-04	3psme	100	C10H13O10P	-H(+)	5-O-(1-Carboxyvinyl)-3-phosphoshikimate
139	330.0584	0.9158	0.0025	damp	100	C10H14N5O6P	-H(+)	dAMP
140	333.0589	0.9427	3.49E-04	g3pi	100	C9H19O11P	-H(+)	sn-Glycero-3-phospho-1-inositol
141	334.0592	NaN	-0.0034	dhpmp	100	C9H14N5O7P	-H(+)	Dihydroneopterin monophosphate
141	334.0592	NaN	0.0122	Sfglutth	82	C11H17N3O7S	-H(+)	S-Formylglutathione
142	335.0378	0.8343	0.0034	nicrnt	44	C11H15NO9P	-H(+)	Nicotinate D-ribonucleotide
143	337.0539	0.9088	0.0016	aicar	62	C9H15N4O8P	-H(+)	5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide
144	338.9885	0.9405	2.62E-04	f26bp	100	C6H14O12P2	-H(+)	"D-Fructose 2,6-bisphosphate"
144	338.9885	0.9405	2.62E-04	fdp	100	C6H14O12P2	-H(+)	"D-Fructose 1,6-bisphosphate"
145	341.1089	0.9632	5.27E-05	1Dgali	100	C12H22O11	-H(+)	1-alpha-D-Galactosyl-myo-inositol
145	341.1089	0.9632	5.27E-05	6dg	100	C12H22O11	-H(+)	D-Gal-alpha-1->6D-Glucose
145	341.1089	0.9632	5.27E-05	epm	100	C12H22O11	-H(+)	Epimelibiose
145	341.1089	0.9632	5.27E-05	malt	100	C12H22O11	-H(+)	Maltose
145	341.1089	0.9632	5.27E-05	melib	100	C12H22O11	-H(+)	Melibiose
145	341.1089	0.9632	5.27E-05	sucr	100	C12H22O11	-H(+)	Sucrose
145	341.1089	0.9632	5.27E-05	tre	100	C12H22O11	-H(+)	Trehalose
146	344.076	0.9332	-0.0047	thmmp	52	C12H18N4O4PS	-H(+)	Thiamin monophosphate
147	346.0558	0.9059	-4.22E-05	amp	100	C10H14N5O7P	-H(+)	AMP
147	346.0558	0.9059	-4.22E-05	amp2p	100	C10H14N5O7P	-H(+)	Adenosine 2'-phosphate
147	346.0558	0.9059	-4.22E-05	dgmp	100	C10H14N5O7P	-H(+)	dGMP
148	347.04	0.9135	-1.92E-04	imp	100	C10H13N4O8P	-H(+)	IMP
149	348.0555	0.9266	-0.0065	2cpr5p	38	C12H16NO9P	-H(+)	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate
149	348.0555	0.9266	-0.0065	pran	38	C12H16NO9P	-H(+)	N-(5-Phospho-D-ribosyl)anthranilate
149	348.0555	0.9266	-0.005	23camp	19	C10H12N5O6P	+F(-)	"2',3'-Cyclic AMP"
149	348.0555	0.9266	-0.005	camp	19	C10H12N5O6P	+F(-)	cAMP
150	355.0645	0.9263	0.0015	5aprbu	91	C9H17N4O9P	-H(+)	5-Amino-6-(5'-phosphoribitylamino)uracil
151	362.051	0.8676	-3.07E-04	gmp	100	C10H14N5O8P	-H(+)	GMP
152	363.0372	0.912	-0.0025	xmp	97	C10H13N4O9P	-H(+)	Xanthosine 5'-phosphate
153	365.0501	0.9224	2.89E-04	fprica	100	C10H15N4O9P	-H(+)	5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide
154	367.3577	-0.3537	4.06E-04	ttc	100	C24H48O2	-H(+)	tetracosanoate (n-C24:0)
155	375.1285	0.945	0.0025	ribflv	57	C17H20N4O6	-H(+)	Riboflavin
156	375.1435	NaN	-0.0125	ribflv	80	C17H20N4O6	-H(+)	Riboflavin
157	381.1462	NaN	-0.0225	frdp	44	C15H28O7P2	-H(+)	Farnesyl diphosphate
158	383.1149	0.9448	-5.63E-04	ahcys	100	C14H20N6O5S	-H(+)	S-Adenosyl-L-homocysteine
159	386.0165	0.8993	-5.16E-04	dcdp	100	C9H15N3O10P2	-H(+)	dCDP
160	386.9999	0.8898	7.69E-05	dudp	100	C9H14N2O11P2	-H(+)	dUDP
161	396.2497	0.8533	0.0024	psph1p	65	C18H40NO6P	-H(+)	Phytosphingosine 1-phosphate
162	397.1074	NaN	0.0225	amet	44	C15H22N6O5S	-H(+)	S-Adenosyl-L-methionine
162	397.1074	NaN	0.0055	ribflv	36	C17H20N4O6	.H/Na-H(+)	Riboflavin
163	401.0861	0.9652	-0.0072	4ppcys	34	C12H23N2O9PS	-H(+)	N-((R)-4-Phosphopantothenoyl)-L-cysteine
164	402.011	0.8409	-1.02E-04	cdp	100	C9H15N3O11P2	-H(+)	CDP
165	402.9939	0.7962	0.001	udp	98	C9H14N2O12P2	-H(+)	UDP
166	418.9559	0.9425	-8.47E-04	mi145p	100	C6H15O15P3	-H(+)	"1D-myo-Inositol 1,4,5-trisphosphate"
167	421.075	0.9428	2.71E-04	tre6p	100	C12H23O14P	-H(+)	"alpha,alpha'-Trehalose 6-phosphate"
168	423.0297	0.8807	1.62E-04	thmpp	100	C12H18N4O7P2S	-H(+)	Thiamine diphosphate
169	426.0227	0.8441	-5.79E-04	adp	100	C10H15N5O10P2	-H(+)	ADP
169	426.0227	0.8441	-5.79E-04	dgdp	100	C10H15N5O10P2	-H(+)	dGDP
169	426.0227	0.8441	-5.79E-04	pap	100	C10H15N5O10P2	-H(+)	"Adenosine 3',5'-bisphosphate"
170	441.3368	0.9365	5.96E-04	4mzym_int1	100	C29H46O3	-H(+)	4-Methylzymosterol intermediate 1
